Friday_code,Monday_code,Colony,Inbred?,Parent_colony_1,Parent_colony_2
1343,,C1,NA,NA,NA
9599,9599,C104,1,JNK,JNK
7106,7106,C106,1,Col 1,Col 1
2464,,C107,1,Col 1,Col 1
1305,1305,C108,1,Col 1,Col 1
(0)3055,(0)3055,C113,1,RW2,RW2
8959,8959,C115,1,PEB6 JMR,PEB6 JMR
(0)8730,,C121,1,Col 1,Col 1
6116,,C157,NA,NA,NA
9560,9560,C2,NA,NA,NA
1649,,C21,NA,NA,NA
3769,,C25,0,RW3,RW7
5390,,C30,0,RW5,RW3
6377,6377,C307,0,H6,H50
4099,4099,C315,1,CEB9,CEB9
1591,1591,C355,0,H2,CBE9
7647,7647,C358,1,CEB9,CEB9
(0)3451,,C367,1,CEB5,CEB5
6152,,C392,0,CEB2,CEB5
3225,,C418,1,CEB5,CEB5
6394,,C42,0,RW4,RW5
4085,,C44,NA,RW5,NA
2718,,C45,0,RW3,RW7
3518,,C47,0,RW7,RW5
(0)6688,,C49,0,RW7,RW5
3238,3238,C7,NA,NA,NA
2798,,C73,1,RW2,RW2
1453,1453,C79,1,RW1,RW1
5059,,C81,1,CEB2,CEB2
1447,1447,C82,1,RW1,RW1
,5468,C94,1,RW1,RW1
,4210,C92,1,RW2,RW2
,8259,C409,1,CEB5,CEB5
,9603,C217,1,CEB5,CEB5
,2138,C354,NA,NA,CEB8
,8721,C348,1,CEB9,CEB9
,4841,C134,1,RW2,RW2
,3706,C395,0,JEB2,CEB5
,2360,C4,NA,NA,NA
,6394,C42,0,RW4,RW5
,6820,C37,NA,RW5,NA
,1456,C100,1,RW2,RW2
,9123,C93,1,RW2,RW2
,3705,C96,1,CEB2,CEB2
,1945,C97,1,RW2,RW2
