day,colony,intruder,intruder_CODE,code,order,treatment,wood,behaviour,size,count,dur_total,dur_mean,proportion,size,difference,inbred,shared_GP,Notes,Parent_colony_1,Parent_colony_2,Intruder_parent_colony_1,Intruder_parent_colony_2
friday,C108,C108,1305,1305,3,0,C,Allogrooming,0,0,0,0,0,0.975,-0.366666667,1,C,,Col 1,Col 1,Col 1,Col 1
friday,C1,C1,1343,1343,2,0,C,Allogrooming,0,0,0,0,0,0.951219512,-0.033333333,NA,C,,NA,NA,NA,NA
friday,C82,C418,3225,1447,9,1,D,Allogrooming,-1,1,2.325,2.325,1.6,0.782608696,-0.233333333,1,0,,RW1,RW1,CEB5,CEB5
friday,C79,C79,1453,1453,4,0,C,Allogrooming,0,1,3.993,3.993,2.7,1.125,-0.066666667,1,C,,RW1,RW1,RW1,RW1
friday,C355,C307,6377,1591,7,1,S,Allogrooming,0,0,0,0,0,0.909090909,-0.3,0,0,,H2,CBE9,H6,H50
friday,C21,C2,9560,1649,9,1,S,Allogrooming,0,4,8.738,2.184,5.8,1.083333333,0.1,NA,NA,,NA,NA,NA,NA
friday,C107,C107,2464,2464,4,0,C,Allogrooming,0,2,4.751,2.376,3.2,0.923076923,0.433333333,1,C,,Col 1,Col 1,Col 1,Col 1
friday,C73,C358,7647,2798,4,1,S,Allogrooming,-1,0,0,0,0,0.804878049,-0.266666667,1,0,,RW2,RW2,CEB9,CEB9
friday,C418,C82,1447,3225,5,1,D,Allogrooming,0,2,3.996,1.998,2.7,1,0,1,0,,CEB5,CEB5,RW1,RW1
friday,C7,C315,4099,3238,8,1,D,Allogrooming,0,8,74.504,9.313,49.7,0.933333333,0.333333333,NA,NA,,NA,NA,CEB9,CEB9
friday,C47,C25,3769,3518,8,1,S,Allogrooming,0,3,9.245,3.082,6.2,0.886363636,-0.166666667,0,1,Single parent from RW7 in each,RW7,RW5,RW3,RW7
friday,C25,C47,3518,3769,8,1,S,Allogrooming,0,0,0,0,0,0.857142857,-0.2,0,1,,RW3,RW7,RW7,RW5
