day,code,order,treatment,wood,behavior,size,count,duration,dur_mean,proportion,size,difference,inbred
friday,1305,3,0,C,Antennation,0,7,12.514,1.788,8.3,0.975,-0.3666667,1
monday,1305,3,1,D,Antennation,1,12,61.957,5.163,41.3,0.710526316,-0.0333333,1
friday,1343,2,0,C,Antennation,0,8,14.046,1.756,9.4,0.951219512,-0.0333333,NA
monday,1343,9,0,C,Antennation,1,6,7.428,1.238,5,0.967741935,-0.0666667,NA
friday,1447,9,1,D,Antennation,-1,11,24.248,2.204,16.2,0.782608696,-0.2333333,1
monday,1447,5,1,D,Antennation,0,12,36.238,3.02,24.2,0.810810811,-0.3333333,1
friday,1453,4,0,C,Antennation,0,3,4.511,1.504,3,1.125,-0.0666667,1
monday,1453,6,1,S,Antennation,1,9,65.218,7.246,43.5,0.942857143,0.16666667,1
monday,1456,11,1,S,Antennation,0,9,38.744,4.305,25.8,0.75,-0.3,1
friday,1591,7,1,S,Antennation,0,3,3.498,1.166,2.3,0.909090909,-0.3,0
monday,1591,7,1,S,Antennation,0,8,9.079,1.135,6.1,0.7,-0.1,0
friday,1649,9,1,S,Antennation,0,7,15.885,2.269,10.6,1.083333333,0.1,NA
monday,1945,11,0,C,Antennation,0,4,19.168,4.792,12.8,1,0,1
monday,2138,8,1,S,Antennation,1,7,24.786,3.541,16.5,1.583333333,0.7,NA
monday,2360,9,0,C,Antennation,1,10,17.47,1.747,11.6,1.181818182,0.2,NA
friday,2464,4,0,C,Antennation,0,12,23.763,1.98,15.8,0.923076923,0.43333333,1
monday,2464,12,1,S,Antennation,2,2,3.494,1.747,2.3,1.448275862,-0.1,1
friday,2798,4,1,S,Antennation,-1,6,15.77,2.628,10.5,0.804878049,-0.2666667,1
friday,3225,5,1,D,Antennation,0,7,13.775,1.968,9.2,1,0,1
friday,3238,8,1,D,Antennation,0,6,35.136,5.856,23.4,0.933333333,0.33333333,NA
monday,3238,12,1,S,Antennation,2,9,25.276,2.808,16.9,1.344827586,-0.1,NA
friday,3518,8,1,S,Antennation,0,13,45.231,3.479,30.2,0.886363636,-0.1666667,0
monday,3705,11,1,S,Antennation,2,8,21.606,2.701,14.4,0.827586207,-0.1666667,1
monday,3706,9,1,S,Antennation,2,8,13.022,1.628,8.7,1.285714286,0.26666667,0
friday,3769,8,1,S,Antennation,0,11,52.315,4.756,34.9,0.857142857,-0.2,0
friday,4099,1,1,D,Antennation,1,0,0,0,0,1.216216216,0.03333333,1
monday,4099,7,1,S,Antennation,1,11,70.02,6.365,46.7,1.028571429,0.26666667,1
monday,4210,1,0,C,Antennation,1,4,10.205,2.551,6.8,0.964285714,-0.0333333,1
monday,4841,10,1,S,Antennation,1,8,67.809,8.476,45.2,0.882352941,-0.1333333,1
friday,5390,7,1,D,Antennation,1,15,26.465,1.764,17.6,1.551724138,0.53333333,0
monday,5468,2,1,D,Antennation,0,6,102.484,17.081,68.3,0.675,-0.4333333,1
friday,6116,6,1,D,Antennation,-1,5,13.766,2.753,9.2,0.695652174,-0.35,NA
friday,6377,5,1,S,Antennation,0,8,27.744,3.468,18.5,1.137931034,-0.1,0
monday,6377,2,1,D,Antennation,2,5,19.497,3.899,13,0.888888889,0.13333333,0
friday,6394,6,1,D,Antennation,1,4,5.501,1.375,3.7,1.258064516,-0.0333333,0
monday,6394,10,0,C,Antennation,1,11,26.201,2.382,17.5,0.96,0.26666667,0
monday,6820,10,0,C,Antennation,1,5,8.008,1.602,5.3,1.058823529,0.06666667,NA
friday,7106,2,0,C,Antennation,1,5,7.236,1.447,4.8,1.285714286,-0.3333333,1
monday,7106,4,1,D,Antennation,0,5,16.188,3.238,10.8,0.677419355,0.33333333,1
friday,7647,9,1,S,Antennation,0,1,2.25,2.25,1.5,1.083333333,-0.0666667,1
monday,7647,5,1,D,Antennation,1,7,17.519,2.503,11.7,0.9375,0.1,1
monday,8259,1,0,C,Antennation,1,7,9.501,1.357,6.3,0.888888889,-0.1,1
monday,8721,8,1,S,Antennation,1,9,36.017,4.002,24,0.909090909,-0.1,1
friday,8959,5,0,C,Antennation,0,6,7.504,1.251,5,0.970588235,-0.1666667,1
monday,9123,10,0,C,Antennation,1,3,6.007,2.002,4,0.87804878,-0.1,1
friday,9560,7,1,S,Antennation,-1,12,20.513,1.709,13.7,0.567567568,-0.5333333,NA
monday,9560,9,0,C,Antennation,1,5,12.007,2.401,8,0.923076923,0.1,NA
friday,9599,1,0,C,Antennation,0,6,9.41,1.568,6.3,0.87804878,-0.1666667,1
monday,9599,6,1,S,Antennation,1,13,34.234,2.633,22.8,1.090909091,0.06666667,1
monday,9603,3,1,D,Antennation,1,10,59.265,5.926,39.5,1.08,-0.0333333,1
friday,(0)3055,2,1,D,Antennation,-1,11,119.507,10.864,79.7,0.825,-0.0333333,1
monday,(0)3055,4,1,D,Antennation,1,4,14.562,3.641,9.7,0.970588235,-0.2333333,1
friday,(0)3451,3,1,D,Antennation,0,11,12.926,1.175,8.6,0.857142857,-0.1666667,1
friday,(0)8730,3,0,C,Antennation,0,6,7.765,1.294,5.2,1.071428571,0.13333333,1
