# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1640674464
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_full_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-141.147,0.998346,0.0348064,7,127,0,164.784,0.118801,0.425118,-0.605175,-0.359604,-0.0774172,-0.346236,-2.23883,0.268708,0.45223,0.951749,1.04008,-1.10537,-0.512845,0.642063,1.25273,-1.31642,0.12995,-0.230489,0.811223,-0.184452,0.194333,1.58195,-0.522321,0.201522,-1.46005,-0.0745795,1.9565,0.0811823,-0.274957,-0.721318,0.689323,1.50445,-1.15209,1.47531,0.174338,1.97346,-0.874722,0.560757,0.0491187,0.308997,0.593171,1.67499,-1.7268,1.0992,0.602152,0.638643,0.0329887,0.0857395,0.303016,-0.339218,0.537746,-0.730965,-0.989881,-0.138386,0.117827,-0.98594,-0.770017,0.0453145,0.69642,-1.62912,-5.79735,-11.1741,0.332847,-0.985352,0.878717,0.860234,-1.11622,-0.513468,-1.13468,-1.75543,1.82148,0.955348,-0.747311,0.473126,0.857306,1.01557,0.6903,-0.239934,-0.385621,-0.627422,0.392431,0.382908,-1.12142,1.49181,-1.03881,0.581435,-0.801918,-0.110687,-0.362142,-0.116994,0.239382,0.340129,0.763555,-0.383409,1.27937,0.627924,-0.386107,-0.706394,0.00241661,0.99334,0.138911,-1.02287,1.39316,0.665857,0.411834,-0.0731344,0.0175923,0.858832,0.726967,0.28964,0.10703,-0.462198,-0.912586,-0.99778,3.09785,-2.01595,-2.54975,1.70491,-4.52344,-0.494127,-2.12833,0.370866,0.487893,1.28342,1.27446,-1.21619,-0.16677,0.740655,0.831511,-1.17415,0.290648,-0.434281,0.890696,-0.0971051,0.200574,1.7527,-0.431562,0.343247,-1.43837,0.0677313,2.29817,-0.562305,-0.30143,-0.867714,0.807582,1.66745,-1.03674,1.59608,0.237576,1.69023,-0.874722,0.804848,0.186367,0.263894,0.573085,2.65851,-2.46179,1.78777,0.557517,0.581589,0.539507,0.172626,0.161838,-0.339218,0.358356,-0.0197304,-0.989881,0.450577,3.83433,-1.24327,5.85092
-161.634,0.997167,0.0348064,7,127,0,185.07,-0.0851056,-0.2863,-0.337595,-1.17739,0.681988,-0.505954,-0.826015,1.11704,2.02137,-0.196181,-0.445459,-0.12385,-0.992944,0.691882,0.941538,0.839619,0.18351,-1.28683,-0.756493,2.63572,-0.217276,0.0943135,-1.34551,-0.706087,-0.413748,-0.945551,0.325601,-0.412533,0.442097,0.165944,1.40635,0.539404,-2.10809,-2.12072,1.30638,4.58231,1.34263,0.109558,-0.568033,0.693839,1.96049,-0.507409,1.39312,-0.192924,0.656774,1.50638,1.01878,0.71252,0.363153,-1.13283,0.90832,-0.765837,1.73181,0.569961,-0.735295,1.0801,-1.90372,-1.10702,-1.86789,1.28147,-3.04461,4.66789,0.27393,2.09988,0.0350635,0.0347104,-1.11381,-1.16681,1.23734,0.320299,-0.592934,-0.884212,1.31831,-0.166106,0.101807,-1.08455,0.565203,-0.303539,-1.89378,0.319231,-0.319073,1.53158,-0.0186079,-2.09497,-0.173568,0.323235,1.08568,-0.439649,-1.4791,0.684811,-1.52989,-0.0636702,-1.26925,1.15043,-0.588763,-0.115966,-0.247279,-0.282719,-1.79767,1.9786,-1.23526,-0.512197,-0.202587,0.193708,0.128927,-0.177244,0.260125,-0.297579,0.491098,0.913316,-0.113409,-0.273356,0.372584,0.667632,-1.17935,-2.9369,-0.879744,-4.06307,3.29136,-0.525048,-0.790108,1.1503,2.03296,-0.126019,-0.394592,-0.338454,-0.917667,0.720013,0.574576,0.870061,0.219595,-1.33708,-0.870482,2.66595,-0.214646,0.0997451,-1.32222,-0.686808,-0.377025,-0.91252,0.395659,-0.344506,0.430083,-0.101752,1.43629,0.561417,-2.08049,-2.09807,1.32867,4.53485,1.34263,0.120042,-0.554423,0.702863,1.94612,-0.46357,1.41276,-0.157331,0.649832,1.44289,1.04052,0.631064,0.292206,-1.13283,0.760467,-1.12955,1.73181,0.273834,-0.71273,2.08923,-6.31026
-150.353,0.999452,0.0348064,7,127,0,194.498,0.38761,-0.128954,0.74721,-1.05057,0.48136,0.268842,2.5454,0.979775,-0.681774,0.438937,0.278791,-0.402352,-1.61237,-1.51301,0.84997,-1.82406,1.13094,0.727178,-0.777632,-0.578806,-2.14235,0.317321,1.86149,0.187441,-0.945806,-0.702759,-0.166114,0.368726,0.788633,0.463186,1.08048,-1.03724,0.3646,1.63295,1.00339,1.32687,-0.533625,-0.211417,-0.266976,1.48846,-0.757314,-1.11743,0.582971,0.422785,-0.517517,0.466561,0.031065,0.944167,-0.408015,1.3452,-1.18625,-0.558969,-0.252015,-0.769456,-0.416778,-1.76205,-0.235257,-1.22537,-3.90181,-0.208496,-5.90642,4.61574,-0.950248,-1.00775,1.08183,2.52118,-0.0888685,-0.341219,-0.441886,-0.541586,1.17268,0.198717,1.07185,0.169758,-1.68671,-0.785838,3.01119,0.276336,0.0330424,-1.61641,-0.692598,-0.0126372,-0.781618,0.637798,-0.185699,0.207062,-0.422653,1.35754,0.67701,-2.48858,-2.06394,1.22133,4.54973,1.53232,0.247276,-0.542359,0.581527,1.88581,0.0147716,1.59846,0.159471,0.472887,1.40463,1.42014,0.190571,0.382126,-1.23324,1.39089,-0.556477,1.61675,0.546025,-0.462298,0.892282,-0.963935,3.09975,-2.9629,4.55488,-6.83827,4.41204,-0.048163,2.80154,1.19063,-0.702744,0.763974,0.52816,-0.781857,-1.15516,-1.38681,-0.0713758,-1.79044,1.30648,0.408573,-0.916304,-0.331713,-2.67623,0.469608,2.02842,0.286552,-0.666769,-0.580837,0.291028,0.887065,0.549859,0.0166475,1.21672,-0.977027,0.455334,1.79145,1.09206,1.34424,-0.533625,0.131123,-0.147362,2.14782,-2.03056,-0.0597642,1.36215,1.66314,-1.64482,0.22652,0.778373,0.386439,-0.573121,1.3452,-1.35431,0.0213117,-0.252015,0.155416,1.33266,-0.953305,11.2221
-139.945,0.999991,0.0348064,7,127,0,178.801,-0.0274876,0.805095,-0.399244,0.156381,0.260491,-0.633926,-1.56368,-1.03575,0.794465,-1.33444,-1.52797,0.504164,0.606731,0.847746,0.0965611,0.414025,-0.0723917,-0.384208,0.931609,0.126314,2.33628,-0.442241,-1.0384,-0.19076,1.32213,0.521956,0.334395,1.5956,0.346825,-0.285946,-0.785282,0.136597,-0.634947,-1.53982,-0.825683,-0.782497,0.484371,1.82718,-0.0800876,-0.755179,-0.0183471,0.346142,-0.302849,-0.595632,0.872319,-0.324934,0.0793541,-1.40215,0.957485,-0.282201,1.2929,-0.118742,1.40806,-0.498924,-0.729438,-2.25127,-0.400305,2.55379,-4.32071,-1.94403,3.96095,3.97536,1.76533,-2.08206,-0.190752,-0.260057,1.08244,1.23277,0.222047,1.59889,1.58211,-1.3235,2.20534,-1.49117,-0.731187,-0.255901,0.7868,0.158317,0.289946,-1.84822,-0.0644775,-1.52587,0.486424,-0.380964,-2.83419,-1.66546,-0.168728,-1.33221,1.32891,0.606287,-0.852737,-0.658994,-1.2474,0.239211,-1.91191,0.29642,-1.84797,1.34876,0.771564,-0.850859,-0.439739,0.424962,0.0372066,-1.58331,1.18063,-0.820738,-1.54365,0.338196,-0.615263,-0.592119,0.930566,0.616747,0.0932344,-2.6787,-0.480757,5.02848,-2.02085,5.76402,7.24883,-0.528302,-1.37714,-0.99997,0.922219,-0.922899,-1.34971,0.430979,0.967179,0.903388,-1.13317,0.624376,0.154199,-1.67932,1.00192,0.0643175,2.23811,-0.176112,-0.967692,-0.0011646,1.40039,0.759812,0.574462,1.41437,0.477092,-0.484697,-0.704842,0.345559,-0.575186,-1.49884,-0.866263,-1.36944,0.484371,1.8779,0.240686,-0.943278,-0.499174,0.937415,-0.273602,-0.11976,-0.068179,-0.546391,0.323767,-1.36024,0.880244,-0.282201,0.941824,0.198727,1.40806,-0.751206,-1.24937,-1.38633,1.93324
-138.627,0.999362,0.0348064,7,127,0,163.915,0.963475,0.346106,0.361102,-0.302143,-0.0330297,0.236473,0.384272,-0.121898,-0.0599383,-0.260004,0.613619,-1.45796,-0.798536,1.51312,0.902229,-0.314322,0.475515,1.03958,-0.651455,-0.652391,-0.117417,-1.07495,0.868406,0.293499,0.948104,0.34486,1.15877,-1.46518,-0.142701,-1.19974,-0.293629,0.414641,-0.622254,-0.522667,1.28192,-0.995672,-0.323949,-1.2087,1.32074,0.102306,0.490042,0.38659,0.462874,0.0676608,0.352367,0.376543,1.45626,1.04595,-0.68844,1.26913,0.0871189,-0.527906,-1.60782,-0.0299644,-0.194525,-0.769193,-1.89604,0.806907,-3.26131,1.09504,-2.13783,-2.76032,0.646525,1.44314,1.19059,-0.882684,1.3973,1.29408,0.122221,-0.438632,-1.41709,-0.0473359,-0.38283,-0.214285,0.311112,-0.911028,0.0852572,-2.59569,0.603976,0.771269,0.0210038,-1.73356,-0.804477,-0.872287,-1.12779,-0.323074,0.598984,0.919247,-0.400854,0.814669,1.8739,0.405026,1.43562,-0.421284,-1.45805,-0.652073,0.917041,0.0865998,-0.797538,0.112809,0.413281,-0.88035,0.337319,-0.47717,1.31175,-0.843536,-0.276119,0.840959,0.493969,-0.642371,0.397647,0.423642,-2.18242,-0.984169,3.62046,-0.0448411,0.555032,-0.504424,-0.768773,0.248893,0.404953,-0.102234,-0.0501567,-0.21897,0.654541,-1.45703,-0.756142,1.53323,0.877889,-0.293663,0.496382,1.02711,-0.638971,-0.633803,-0.118457,-1.05048,0.887735,0.314404,0.967754,0.365467,1.19931,-1.44357,-0.131989,-1.18791,-0.274885,0.435453,-0.60286,-0.503229,1.30576,-1.02508,-0.323949,-1.17082,1.36649,0.119878,0.5035,0.471714,0.49934,0.137811,0.358562,0.402386,1.50795,1.07439,-0.678497,1.26913,0.174327,-0.373917,-1.60782,-0.000902709,0.0108808,-0.610308,-5.02348
-139.428,0.999459,0.0348064,7,127,0,158.236,-0.0147725,0.527813,-0.0799373,-0.527836,0.47108,0.345673,-0.508145,1.37068,0.668831,0.00668237,-1.71788,2.16457,0.741616,-1.57373,0.102696,0.265653,-1.03841,0.469263,0.968536,0.305848,0.343176,0.130033,-1.6637,-0.1827,0.174235,0.13259,-1.33314,0.966426,-0.338986,0.98449,0.160615,-1.4378,-0.029009,-0.348484,-1.63813,0.906164,0.104014,1.26923,-0.900574,0.396881,-0.6002,-0.989873,-0.275427,0.183447,0.742015,0.22394,-0.878152,-0.726484,0.67009,-1.19218,0.34535,1.34487,1.56381,0.155996,-2.03392,-0.832265,-0.74238,1.26437,3.31073,-2.22066,-3.52387,1.71303,-0.383677,-0.276211,-1.08241,-0.354922,-0.193608,0.810413,-0.211229,-0.44019,-0.818497,-0.0363299,-0.0877748,0.340469,-0.351675,0.0766858,0.456159,0.857296,1.27696,0.405258,-0.537498,-1.74885,-1.2104,-0.664343,1.3591,1.45486,1.35703,0.0636328,1.06471,0.723022,1.22225,0.0109056,1.5448,0.37405,0.157962,-1.28381,0.121219,0.933311,-0.245586,-0.235886,-1.30916,0.620136,-0.507001,-1.7979,-0.855297,0.341429,-0.486555,0.548562,-0.876365,0.443906,0.731158,-0.608842,0.528748,-0.469229,2.88199,7.18067,-0.273459,-2.96922,7.54677,0.487917,-0.296065,1.49628,0.856268,0.457478,-1.57125,2.24375,1.22398,-1.52887,-1.57676,0.436205,-0.845761,0.0333162,1.04013,0.480846,0.189329,0.365934,-1.61572,-0.016764,0.397771,0.363268,-1.05805,1.3167,-0.319009,0.815273,0.261942,-1.31102,0.0449587,-0.271566,-1.95294,0.854751,0.104014,1.24447,-0.850816,0.449901,-0.720982,-0.903885,-0.233512,0.282448,0.690192,0.222575,-0.828505,-0.704586,0.647191,-1.19218,-0.0622717,2.34979,1.56381,0.218303,-1.04398,0.645773,2.15726
-136.795,0.999759,0.0348064,7,127,0,160.314,-0.148473,0.3807,0.0521543,-0.250137,-0.0644132,0.184389,0.0823707,-1.84596,-0.676421,-0.724283,0.966756,-1.97442,-1.50809,1.00414,1.31944,-0.511834,0.755478,0.748307,-1.18403,-0.57348,0.472141,0.195846,1.45674,-0.184227,-0.401715,-0.253989,0.793493,-0.606439,1.05891,-0.384667,-0.233381,1.09779,0.0441157,0.145125,1.66811,-0.213243,0.0290755,-0.910811,0.64777,0.00294774,1.1329,-0.092887,0.508715,-1.09076,0.339773,0.55814,0.220181,0.907104,-0.5544,1.14068,-0.25627,-1.38378,-1.57986,-0.0127303,0.234347,-2.20905,-1.33138,-0.01297,6.06716,-0.65621,-1.43419,4.18841,-0.616269,0.515914,-0.162886,-0.315071,-0.565957,-1.0176,-0.562001,0.286877,1.561,-0.82951,0.549747,0.893841,-0.858424,0.951938,0.562224,0.194665,-0.666728,-1.43266,-0.927792,-0.147876,1.62876,0.16086,1.49562,0.31844,1.37653,-0.698286,0.365171,-1.18891,0.650914,0.522787,0.284991,-0.870327,1.03525,-0.308693,-1.61155,1.48763,-0.414424,-1.74061,-1.27798,-0.336328,-0.40367,-0.697084,-0.858213,-1.20157,-0.967289,0.100369,-0.902726,0.0660226,-0.476025,-0.685946,1.10404,-2.0511,-1.50451,-2.28685,-0.198972,0.446052,-3.63746,0.0967782,0.135283,-1.81268,-0.806824,-0.622589,1.07635,-2.05539,-1.40268,1.05361,1.07867,-0.454773,0.810292,0.543338,-1.18605,-0.543132,0.377929,0.152949,1.49867,-0.129724,-0.396852,-0.200221,0.890714,-0.707514,1.0538,-0.475961,-0.199085,1.15612,0.0850283,0.187455,1.67422,-0.546888,0.0290755,-1.00211,0.673914,-0.480809,1.01157,0.202645,0.468575,-0.884883,0.0314188,0.482455,0.406967,0.86418,-0.599613,1.14068,-0.319173,-1.36382,-1.57986,-0.0926436,-0.166883,-0.901695,-4.3096
-130.299,0.999961,0.0348064,7,127,0,155.326,-0.115784,0.59534,0.445786,-0.34949,0.238866,0.358078,-1.42482,-1.22926,1.17699,0.139785,-0.936522,-0.328297,0.929552,0.662313,-0.603237,-0.372925,-0.0746698,0.0996161,1.66138,-0.275944,-0.656991,-0.224788,-0.268735,-0.75511,1.41911,0.285559,-0.374789,0.497988,-0.456729,1.19989,-0.422362,-0.68012,0.912103,-0.234409,0.00813961,-1.40998,0.247028,0.693464,-0.091568,1.06827,0.712192,-0.838076,-0.138888,0.429121,1.54613,-0.0283493,-1.09202,1.29257,0.775972,-0.0645666,0.593198,-0.273864,1.0636,-0.5608,-0.150012,0.247837,-0.883627,0.731259,2.30244,-0.799244,1.82709,0.288133,0.306326,-0.357487,-2.2564,-0.454503,-0.471365,0.883297,-2.24773,-0.900911,1.43862,0.0867573,-0.564046,0.916417,0.315827,-0.844296,-0.658077,0.147508,0.189512,1.53638,-0.406077,-0.0754501,0.0323344,0.916532,-0.661353,1.04005,-0.36592,-0.312808,1.03557,0.295683,0.0851343,1.70103,-1.0607,0.112676,-1.47326,1.49989,0.351057,0.325312,0.771441,0.593897,0.446796,-0.749295,0.372451,0.458862,2.11908,-0.498941,1.19258,-2.1551,1.93631,-1.122,0.339751,1.19308,0.534562,1.03065,1.77131,4.07091,1.35465,-2.8819,2.17106,0.357375,-1.3437,-1.18536,1.19344,0.286318,-0.835948,-0.411713,1.09857,0.705905,-1.13988,-0.300389,0.00354351,-0.0187582,1.68857,-0.22668,-0.706529,-0.119544,-0.236056,-0.70728,1.5085,0.355463,-0.241578,0.562143,-0.524858,1.17959,-0.392242,-0.609852,0.949257,-0.215245,-0.0168629,-1.6132,0.247028,0.709315,0.0854176,0.975151,0.068648,-0.377765,0.0782895,0.919967,1.39888,0.0232057,-0.927353,1.27353,0.7382,-0.0645666,0.315018,0.952064,1.0636,0.225388,-1.37051,-0.219502,-2.56198
-139.036,0.998361,0.0348064,7,127,0,157.658,0.327368,0.726888,-0.140842,0.205133,-0.390695,-0.00697746,-0.610503,-0.985872,-0.781009,0.323199,-0.335311,0.157624,1.45878,1.37601,-0.0151177,0.30821,-0.61142,-1.30606,0.209901,0.475573,-1.61307,-0.677839,-0.867952,-0.489623,-0.54016,-0.276257,0.216413,1.64655,0.876421,-0.700284,-1.05094,0.206657,0.619779,-1.07807,0.643515,1.00957,0.19147,-2.18474,0.645298,-2.04444,-0.726131,0.684347,0.676971,0.739488,-0.876192,-0.24634,0.151253,-0.831465,0.913052,0.956023,0.822256,-0.595249,-0.693881,-2.03954,-2.1664,0.215746,-0.812334,0.969906,1.01319,-2.05343,3.01299,3.38591,-0.33698,1.52951,1.34964,-1.15394,-0.306621,0.919881,0.328622,-1.45237,-0.902318,0.933761,0.231952,0.164708,0.269045,-1.87187,0.165241,0.817999,0.211665,0.408689,0.813204,-1.62738,-0.257867,0.244604,-0.796376,0.43103,-1.36125,0.49009,0.567039,-1.07449,0.512765,-0.151882,1.6899,-0.286699,-0.160539,-0.0925861,-0.438927,-0.306168,0.373765,-0.0213278,-0.880272,-1.34878,-0.0520121,1.09195,-1.38294,-0.934709,-0.181759,0.0203486,-0.247193,-0.819233,-0.263501,-0.626325,0.739863,-2.24255,2.35346,-1.23762,-0.772545,3.81393,-6.74157,-0.00464009,-0.589617,-0.969648,-0.802916,0.362992,-0.296582,0.16363,1.50271,1.38875,-0.0704211,0.332061,-0.590202,-1.36228,0.223691,0.481452,-1.63383,-0.659503,-0.8564,-0.467666,-0.53912,-0.257919,0.247516,1.58914,0.862549,-0.677004,-1.03929,0.228545,0.637529,-1.06564,0.663508,0.913212,0.19147,-2.16918,0.676576,-2.11592,-0.753724,0.76447,0.656352,0.798349,-0.924724,-0.217318,0.190354,-0.802808,0.915703,0.956023,0.765906,0.728277,-0.693881,-0.940931,-0.62876,-0.593374,0.505451
-150.552,0.99735,0.0348064,7,127,0,171.691,-0.230393,0.420773,0.138675,-0.621042,0.561764,-2.69394,1.16653,0.602243,0.335339,0.760929,-1.33503,-0.0691908,-2.6228,-1.1673,1.3508,-0.354704,1.28679,1.91294,1.49267,0.349679,1.13623,-0.143442,0.856204,0.68393,-0.352181,0.643619,-0.522767,-0.826564,0.162808,1.02671,0.826529,0.312735,-0.873852,-0.111653,-0.265203,-1.7544,0.248707,2.9123,-0.654772,1.6523,2.01518,-0.152909,-0.296861,-0.0244266,1.44838,0.182215,-0.864974,0.980135,-0.729853,-1.40886,-0.297862,1.3217,0.340406,0.287149,0.836935,-2.23078,-1.18273,-0.179297,-2.90791,-0.11327,-0.115785,6.32607,2.34467,-0.471308,0.856306,0.819879,-1.41346,1.60278,0.0221185,0.34842,-0.951112,-0.579092,-0.22509,-0.642175,0.256011,-1.32867,-1.05601,1.42558,0.815592,0.304381,-0.102922,0.797959,-0.477219,-0.0972473,-1.54691,-1.40576,0.460519,0.709539,-0.777605,-0.270871,1.67981,-0.567401,0.766056,-0.461128,0.0674819,0.30912,1.63166,-0.392811,-1.33533,-0.787398,-1.41239,0.00694497,0.292201,0.179087,0.408105,-0.575964,0.126614,-0.685246,-0.284701,0.659963,-0.986122,0.457997,0.368545,-0.292732,2.54494,-0.29549,-0.241756,-2.96214,1.14879,-3.25871,1.28761,0.688146,0.481924,0.983275,-1.21168,-0.192292,-2.44912,-1.11666,0.897551,-0.250426,1.39964,1.92829,1.53486,0.429306,1.17719,0.0369963,0.963519,0.748855,-0.244561,0.74667,-0.364653,-0.774317,0.27156,0.781369,0.933251,0.416325,-0.843336,-0.0849164,-0.190883,-1.85681,0.248707,3.47854,-1.38611,2.08752,2.20294,0.551308,-0.105904,0.591979,1.72547,-0.104508,-0.598466,0.927677,-1.07671,-1.40886,-0.309001,1.41785,0.340406,1.28701,4.67557,-0.76216,2.38292
