# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1438233811
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noinbred_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-136.264,0.998639,0.0686345,6,63,0,171.439,1.10421,0.256465,-0.214066,0.020131,-0.995559,0.10127,0.0269639,-0.691363,-0.669665,-1.82139,-0.510338,-0.470176,0.510598,-1.23457,0.518957,0.115345,0.562122,-1.09434,-0.273393,-0.55736,-1.83679,1.28877,-0.299769,-0.920701,-0.376765,-1.39021,0.412088,0.281324,1.41772,1.10921,0.276494,-1.71276,-1.41499,0.273891,0.962989,0.105938,0.0628107,-0.245811,-0.599871,-1.48534,0.0518533,-0.00621377,-0.345887,-0.772871,-1.07359,0.939901,0.860366,0.153037,1.55654,-0.00987093,-1.10785,1.02408,0.0588298,0.234656,0.826796,-1.17679,-1.84772,3.80017,-1.25222,1.72467,-0.271641,1.01589,-1.01018,2.12139,-0.87089,1.55665,-1.06083,0.484629,-1.29114,-0.034901,-0.0518408,0.957088,-1.33726,1.39921,0.788165,-1.52206,-1.04234,0.49373,0.968627,0.849324,-0.789782,-1.49234,-0.104046,-1.52605,-2.00564,-1.49391,0.591755,0.466611,-1.42336,-0.0843651,-0.5504,0.985446,-0.828186,-0.874305,0.683831,-0.679081,-2.67054,0.633717,-0.629629,-1.03651,-2.16829,0.27152,0.617988,-2.17018,-0.502444,1.22906,1.94656,0.394201,-1.39894,-0.102425,0.327277,-1.31745,3.06605,-1.65419,-0.495018,-1.27225,-0.973095,0.193245,0.109588,-0.726363,-0.497613,-1.68258,-0.503724,-0.296967,0.593099,-1.65265,0.608889,0.208679,0.344705,-1.05877,-0.288924,-0.69978,-1.77356,1.37071,-0.211243,-0.88386,-0.292204,-1.26699,0.433912,0.249116,1.49431,1.19086,0.358643,-1.63435,-1.34184,0.406756,0.754275,0.105938,0.304991,-0.00851733,-0.682273,-1.74532,0.519335,0.112095,-0.0101558,-1.10394,-1.00394,1.23138,1.00902,0.0419736,1.55654,0.329288,0.589123,1.02408,-0.295473,1.13028,-0.597346,-3.10775
-140.054,0.995193,0.0686345,6,63,0,167.565,-0.170869,0.745071,0.282584,-0.443333,1.4802,-1.89162,-0.757593,0.55465,-0.80885,-0.925687,1.31344,0.399698,0.971535,-0.536797,-0.415314,0.711135,0.0696801,1.19551,2.08593,0.0551585,0.171546,-0.0181329,0.000421552,-0.661259,-1.38486,0.866982,1.07053,0.0244303,0.265921,-0.152004,-0.920256,1.20759,-0.273058,-1.30039,1.00205,-0.223729,-0.285369,0.162841,1.13934,1.32741,1.06743,1.61339,-1.39467,-0.2623,1.54309,0.917347,1.01058,-1.44014,-0.57803,0.127137,-0.900378,0.417504,0.768242,0.0280804,-1.38267,-1.16471,0.696466,-2.32296,1.00071,-3.83139,-0.195563,-0.165046,-0.05854,-0.801044,-0.534792,-1.77785,-0.664463,-0.1263,1.5926,0.106277,0.696751,0.393944,0.799035,-0.93994,-0.054863,-0.584216,-1.50348,1.61047,-0.245571,-1.22219,-0.397216,-0.957667,0.91243,0.320648,1.18038,1.60195,0.0435978,-1.22509,-2.25814,-0.827685,0.752062,0.0104792,0.593568,0.899091,-0.347196,-0.409328,1.36434,0.781744,-0.0910749,0.0712019,-0.703262,1.24512,0.779051,0.669387,1.60785,1.94639,1.55207,1.71167,-0.0615571,0.101156,-0.588709,-5.67472,-0.613419,1.75872,0.463458,-2.57028,1.4476,-1.79634,-0.653946,0.423051,-0.546309,-0.645196,1.44084,0.747198,1.12357,-1.83142,-0.231792,0.88704,-0.78701,1.35749,2.27917,-0.345829,0.135887,0.0794449,0.186638,-0.822527,-1.29892,1.1981,1.02551,-0.261206,0.44901,-0.0618588,-0.763432,1.369,-0.167436,-1.55949,0.629476,-0.223729,-0.501576,0.235825,0.993734,0.794609,1.44505,1.68667,-1.22339,-0.787448,1.71043,1.12926,1.22115,-1.49342,-0.57803,-0.113791,-0.705332,0.417504,2.24869,0.391243,-0.955338,-0.283326
-143.474,0.988405,0.0686345,6,63,0,172.592,0.538791,0.880864,0.190924,0.0181269,-1.5233,1.88898,0.681711,-0.536187,0.63816,0.587677,-1.27129,-0.485512,-1.02106,0.437981,0.335943,-0.937644,0.153218,-1.31674,-2.24308,-0.0411083,-0.161909,-0.0530615,0.389374,0.736417,1.59347,-1.04689,-0.973776,0.053721,-0.274792,0.116679,0.898469,-1.55812,0.0436596,1.33558,-0.912201,0.218477,0.375406,0.24327,-0.484354,0.453031,-1.99934,-1.16728,0.426471,0.54743,-1.79165,-1.33495,-1.35965,1.4766,0.529489,0.387088,-0.0279965,-0.25605,-2.24456,0.0177548,-4.03862,-0.991891,-0.468209,7.17089,0.497816,-5.59204,-1.11777,-1.04928,0.417021,0.223011,-0.770474,1.15168,1.29332,-0.405132,0.0493221,1.33234,0.595024,0.377181,-1.20607,-0.542977,1.31476,0.48288,0.584716,-1.07471,-1.66668,0.205384,-1.62246,-0.0753013,0.222562,0.131726,1.57323,0.00233364,0.438865,-2.17275,-1.03976,-0.264622,-0.691701,0.220899,2.27004,1.71524,0.537682,-0.0371582,-0.264644,-0.678919,0.50706,0.690325,-0.673883,-0.398575,0.0447143,-0.0979751,-0.399601,1.43119,-2.57713,1.24659,-0.476806,1.27693,-0.931256,0.343918,3.48734,4.21429,0.233211,1.92943,-1.51358,1.90184,0.688353,-0.533357,0.661557,0.608007,-1.27426,-0.459286,-1.01593,0.380633,0.349113,-0.925951,0.127247,-1.31202,-2.23821,-0.0496996,-0.141608,-0.0455399,0.401499,0.747421,1.60657,-1.02973,-0.98854,0.0631006,-0.279904,0.124094,0.911767,-1.55387,0.0487615,1.3368,-0.927252,0.218477,0.478093,0.537463,-0.414399,0.151953,-1.5834,-1.11957,0.911464,0.343184,-1.79301,-1.1205,-1.29364,1.57134,0.529489,0.381217,0.000102005,-0.25605,-0.871154,-1.06822,-0.985437,-1.52724
-137.85,0.985871,0.0686345,6,63,0,177.929,0.707163,0.37001,0.128931,-0.0943077,0.337634,-1.61316,-0.205515,0.231825,0.660403,-0.748949,1.1443,0.481093,0.144624,-0.069251,-0.283819,0.944693,-0.0139699,0.802543,1.73249,0.838214,0.0514323,-0.577079,-0.488494,-0.264326,0.150589,0.583231,1.45206,0.343627,-1.20064,0.406256,-1.11074,1.32375,0.0255148,-1.34433,1.28217,0.0758851,-0.201437,-1.21787,0.604852,0.42652,0.314525,0.658552,-2.08336,0.701885,0.937116,0.639069,0.548986,-1.40675,0.262131,-0.0408264,-0.905507,-0.209687,-3.89127,-0.382871,1.33754,-0.530445,-0.406414,1.4574,1.59956,-2.87995,-2.24201,0.996518,1.05295,-0.694815,2.17032,-0.196952,-0.615745,-0.0576947,-1.52791,1.69818,0.201935,-0.0899379,0.185746,-1.17804,-1.47432,1.53458,-0.18811,-1.00232,-0.178973,0.883232,4.03536,-0.973175,0.36007,0.517514,-2.31019,0.708267,0.0355421,-0.874176,0.109418,0.654806,0.192649,0.563563,1.06894,-2.02443,-0.55767,0.64056,-0.176245,-0.275505,-1.3235,0.468632,-0.894892,0.404513,-1.54344,-0.477078,1.25659,0.787064,0.525197,-0.721845,-0.870562,1.69401,-1.65863,4.98503,-5.68986,-7.75417,0.722073,-9.48396,0.329298,-1.60745,-0.200587,0.216691,0.668755,-0.740939,1.1336,0.487149,0.14633,-0.0950685,-0.277938,0.95036,-0.0276714,0.798802,1.73025,0.833482,0.0531273,-0.575753,-0.485363,-0.264022,0.15214,0.588929,1.44786,0.326647,-1.19832,0.407568,-1.10757,1.32848,0.0272152,-1.34152,1.24197,0.0758851,-0.122957,-1.34954,-0.887674,-0.190633,0.96491,0.674125,-1.81913,0.192396,1.05086,0.859086,0.12347,-1.90093,0.262131,1.53651,-15.4897,-0.209687,-1.07637,-1.32401,15.9513,13.9039
-136.69,1,0.0686345,6,63,0,158.922,-0.319843,0.877722,0.160761,-0.0337898,-0.72667,1.30405,0.388969,-1.63613,-0.14805,-1.00084,0.843852,0.700263,-0.939151,-0.547726,0.038567,-0.500002,0.7181,-0.636005,-0.244906,1.25618,-0.876577,0.660405,-0.813081,-1.94438,-0.963289,-0.539337,0.137866,0.938526,0.283791,1.18878,-0.80975,-1.07127,1.00413,-0.788544,0.944487,1.05648,-0.596961,1.01016,1.15657,0.157633,-1.86918,-0.289216,-0.609697,0.505539,-1.01754,-0.46743,0.647148,0.622351,-0.313917,0.622265,-0.785507,-1.14765,-2.44328,-0.56787,-1.2975,-0.774073,1.66867,2.639,1.22713,3.17856,-0.274264,1.38818,0.132273,0.0352715,-0.682174,0.938366,-1.26574,-0.654902,-0.107943,0.334195,0.273822,-0.783086,-0.0236988,-0.782389,-1.69645,-1.05247,-0.00550354,0.505322,0.677436,0.343819,0.0461921,-0.648215,-1.48814,-0.39324,1.2167,-0.477826,1.21429,-1.33423,-0.0552487,1.47788,-1.3923,-0.235295,0.600046,1.73364,-0.868869,0.284617,-0.841591,-0.358183,1.96064,0.181752,-0.965143,-1.11655,-1.01306,1.42448,-0.256755,1.4255,-0.463005,0.294757,1.50834,0.159105,-0.257493,-0.906153,-4.60294,3.47466,0.0354683,1.14624,-0.734257,1.31887,0.395258,-1.64793,-0.124676,-0.982691,0.837917,0.726412,-0.934375,-0.662732,0.0526006,-0.488102,0.638378,-0.632332,-0.243981,1.21973,-0.871812,0.664271,-0.800306,-1.94067,-0.949713,-0.525937,0.0973163,0.922755,0.264137,1.19261,-0.795987,-1.06804,1.00803,-0.802233,0.907394,1.05648,-0.775358,1.09679,0.975313,-0.513129,-1.63035,-0.407627,-0.331106,-0.162579,-1.13086,-0.333161,0.663552,0.60834,-0.313917,-0.205232,-0.531473,-1.14765,-1.02323,-1.41997,-1.44126,-1.93267
-141.672,0.99556,0.0686345,6,63,0,163.418,0.231061,0.336223,0.133379,0.15024,0.548792,0.422401,-0.834001,-0.256,-0.205314,1.72912,1.59215,2.26171,-1.12626,-1.07247,0.24101,0.829861,-1.51378,-0.837416,-0.0202503,0.138489,-0.0251429,0.662127,0.364027,-1.43098,-1.16252,0.413793,0.753119,-0.724534,0.55914,0.273039,-0.252631,-2.10688,-1.78249,0.668781,-1.07674,1.55415,-0.274317,1.68106,-0.370456,0.974743,0.0233029,-0.12224,-1.69979,1.10687,-0.370448,0.396977,-1.69962,-1.1809,0.601888,0.561008,0.113396,-0.561975,-1.12734,0.381029,-0.0992045,-0.774806,-1.82705,-4.39082,0.664278,-0.830497,0.866132,-1.26517,-0.555752,1.58986,0.0481311,1.12946,-0.456596,-0.474697,0.688327,0.596301,-0.0206574,0.499249,-1.03639,0.475808,0.238804,-1.20079,0.933455,-0.55347,0.756077,1.7189,0.739694,0.723836,0.0546682,-1.30453,-0.14317,-1.25677,0.772298,0.545985,-1.73692,1.21975,-1.24121,-0.768343,0.475899,-1.25114,-1.44634,0.0512464,1.13907,0.0620952,-0.292766,-0.101495,1.1247,-0.0158143,-0.930423,-0.380753,0.515579,-0.626817,0.238494,1.08946,1.06271,-0.942354,0.975265,-2.40861,2.88179,-2.26695,-1.02669,1.54574,0.644743,0.478573,-0.796828,-0.272618,-0.0945508,1.83935,1.49328,2.34354,-1.10761,-1.26694,0.301453,0.889439,-1.68018,-0.886469,-0.00972108,0.0995235,0.0174062,0.700418,0.419729,-1.44182,-1.0995,0.506486,0.736172,-0.660654,0.532981,0.309912,-0.19324,-2.06899,-1.7432,0.702413,-1.23838,1.55415,0.0125784,2.66907,-0.754173,1.30357,1.10338,0.0790845,-1.22153,0.447163,-0.452431,1.03348,-2.28382,-1.55234,0.601888,0.773689,1.08779,-0.561975,0.101203,2.68068,0.135365,4.57312
-144.183,0.97904,0.0686345,6,63,0,172.949,0.106433,0.997755,-0.113165,0.0211626,0.24722,-0.412213,0.909889,0.399938,0.161145,-1.81297,-1.44503,-2.37697,1.20965,0.552833,-0.156268,-0.851492,1.53557,0.820548,-0.0628349,-0.0164205,-0.334124,-0.621363,-0.322653,1.29529,1.07554,-0.513922,-0.899949,0.387516,-0.717928,0.441233,0.303734,2.13938,1.98677,-0.448439,0.847554,-1.26596,0.250829,-1.75835,0.363009,-0.0227595,-0.509931,0.0209043,1.18611,-0.813616,0.120494,-0.502267,1.97713,1.26105,-0.565097,0.780218,-0.136494,0.391459,-1.15946,-3.67338,-1.5389,-1.00707,0.411744,-1.00941,-0.68926,-1.87195,-2.88341,-0.489542,-0.74825,-0.474426,-0.219798,-0.418631,-0.586835,-0.36744,-0.112285,-2.8668,-0.697902,0.814968,1.4255,0.19928,0.496342,0.0271761,0.876212,-0.389605,2.05898,0.576144,0.536127,-0.0691665,0.669779,1.21214,0.58426,-2.02227,-0.291456,0.166221,-0.199627,-0.661597,1.87813,-1.69892,0.00582378,-0.712726,0.648074,-2.26659,1.37662,0.62055,1.52226,0.33825,0.913805,0.732941,-0.425984,0.245975,-0.21822,0.0728027,-0.318312,0.615361,1.21364,0.480731,-0.614597,1.08548,1.01349,5.92603,-0.392733,2.68002,0.263446,-0.375839,0.925074,0.408899,0.234279,-1.76611,-1.4452,-2.3073,1.22482,0.276408,-0.119952,-0.815604,1.42816,0.842627,-0.0454524,-0.0715554,-0.295142,-0.608219,-0.286925,1.31679,1.1125,-0.459585,-0.955974,0.395632,-0.715126,0.4557,0.339776,2.15616,2.00292,-0.474532,0.794741,-1.26596,0.248365,-1.75296,0.363633,-0.0388022,-0.498335,0.0210043,1.19637,-0.823856,0.122215,-0.497031,1.98013,1.26111,-0.565097,0.556915,0.164928,0.391459,-1.12539,-0.965949,-1.00075,-1.31947
-147.383,0.998107,0.0686345,6,63,0,165.497,0.77241,0.399885,0.607052,0.40326,0.128135,0.247282,-1.35516,-0.237757,-0.461254,1.15664,1.47934,2.2048,-1.4118,-0.401704,0.0298142,0.0991759,-0.773522,-0.814933,-0.447539,0.268212,0.316273,0.62676,0.072384,-1.33077,-1.50532,0.358823,1.68336,-0.361153,0.693503,-0.57049,-0.335499,-2.27239,-2.0688,0.322723,-0.359059,1.23176,-0.319235,1.9342,-0.504096,0.091095,0.339948,-0.134495,-1.26492,2.68881,-0.0297353,-0.337012,-1.95946,-0.458239,0.480035,-0.12541,-0.478429,-0.293985,-0.18294,1.204,1.03293,-1.74852,0.393708,-2.18066,-1.73126,-1.01551,-1.6555,0.164784,0.781744,-0.561128,0.242454,1.21481,0.15843,0.413978,1.04107,0.319574,0.0178312,1.10358,0.0407929,-0.306261,1.39202,0.370482,-0.165899,-0.319637,0.237434,0.63899,0.365739,1.93245,-1.49218,-0.575683,0.73132,0.572984,-0.588501,0.211822,-0.354055,-0.915826,-0.557816,0.300782,0.144417,0.86727,0.68823,1.78582,0.0382325,0.642403,-0.62764,-1.79836,-0.40227,1.55232,-0.375377,-1.21369,0.787926,-0.0559819,0.406812,-0.857377,-0.293147,-0.398952,-0.97919,-0.942576,2.85389,1.14924,1.09026,2.01067,0.169707,0.271271,-1.33646,-0.228596,-0.413049,1.20127,1.41722,2.24688,-1.3997,-0.501184,0.0525072,0.123762,-0.787074,-0.844541,-0.433954,0.274132,0.354394,0.64574,0.0943156,-1.31131,-1.48071,0.399975,1.71206,-0.338873,0.702981,-0.552958,-0.310925,-2.25275,-2.05263,0.32881,-0.374488,1.23176,-0.172667,2.29716,-0.358327,-0.0535053,0.776648,0.0856866,-0.934362,2.75662,0.0609524,-0.106068,-2.2782,-0.443166,0.480035,0.402084,0.328929,-0.293985,-0.161673,3.32221,1.35686,-4.37257
-148.411,0.990118,0.0686345,6,63,0,173.918,-0.0913403,0.405194,-0.364112,-0.0717974,-0.116685,-0.576845,1.29545,-0.548781,0.899767,-1.31701,-0.514888,-2.67022,2.55191,1.10657,0.000450572,0.209895,1.73475,1.35445,-0.160645,0.538974,0.484938,-1.10998,-0.179945,0.0178605,1.8474,-0.888895,-0.866896,0.43217,-0.696721,-0.672903,-0.229177,1.7531,2.17478,-0.170046,0.957887,-0.682221,0.96721,0.186235,0.0623302,-0.0163261,-0.219938,0.537566,0.752649,-2.20459,-0.516794,0.774145,1.26946,-0.250094,0.362755,-0.892879,-0.207101,-0.80133,-0.977962,-4.52968,-2.37412,-0.919308,2.8631,5.55095,0.0591683,-1.15642,-0.0508935,0.0475433,0.251383,1.30403,-0.902001,-0.710897,-1.67941,-0.450674,-0.769271,0.00698596,-0.325868,-1.01909,1.34612,-0.376889,0.981622,-0.387819,-1.26362,0.108667,-0.219366,1.91301,-0.468423,0.0615906,-1.32151,-0.0307622,0.168617,1.29935,0.501665,1.33993,0.686929,-0.490979,-0.0832018,-1.12335,-0.677451,-2.7949,0.681134,-0.114971,-0.385027,-0.530108,1.00991,-1.22757,0.605784,-0.694314,1.55345,1.6608,-1.08293,1.43967,-0.0102142,1.26639,-0.191519,-0.636593,-0.756944,-0.265112,-3.76026,-3.40814,-2.33433,-3.70875,-0.181294,-0.533391,1.32876,-0.581966,0.993044,-1.24659,-0.532492,-2.58509,2.58932,0.846815,0.047354,0.25319,1.47415,1.37611,-0.163574,0.395526,0.480073,-1.08015,-0.13375,-0.00466547,1.89658,-0.848918,-1.12319,0.412759,-0.780894,-0.641063,-0.183456,1.78874,2.21293,-0.161125,0.765185,-0.682221,0.966516,0.186596,0.0580543,-0.0205157,-0.215197,0.531861,0.755759,-2.21486,-0.519177,0.777436,1.27065,-0.251372,0.362755,-1.10968,-0.129364,-0.80133,-1.27857,-0.963527,-0.729428,-0.257387
-145.356,0.999721,0.0686345,6,63,0,169.62,-0.226415,1.06276,0.103706,0.27984,0.301962,0.627252,-1.18265,0.953082,-1.07205,1.05846,0.560404,2.03651,-2.59096,-0.713911,-0.176711,-0.609668,-1.67902,-1.29129,0.228412,-0.487718,-0.540102,1.20515,0.335209,-0.149413,-2.00313,0.812418,0.883559,-0.433007,0.497931,0.676962,0.154068,-1.81312,-2.20853,0.372378,-0.4779,0.718553,-0.654225,-0.70771,0.839018,0.350803,-0.402543,-0.890369,-1.21218,1.37153,0.195128,-1.17876,-1.15009,0.0549701,-0.373795,-0.0955155,-0.0835038,0.79556,-0.302696,-0.174961,-1.64233,-1.45917,0.995936,3.50224,-1.25054,-2.54662,-2.28495,-0.629513,-0.910434,-1.43989,0.046717,0.511762,-0.26715,1.59462,-0.447508,-0.590318,0.698787,0.614845,-0.402127,-1.33079,-0.476541,-0.390912,-0.225663,-1.10134,-0.455437,-1.37536,0.0537097,0.492551,0.661698,0.588269,1.16059,0.537015,-1.02888,-0.272175,0.0665154,0.770396,-0.145891,-0.167067,-1.23825,-1.86159,-0.8406,1.17281,0.550895,0.689017,1.39146,1.5224,1.10923,0.503276,0.184023,0.478193,-0.963261,0.954368,-1.40408,-0.754665,0.998784,1.07662,1.82361,-0.883944,-2.82608,6.41893,0.468047,5.66719,0.312761,0.664574,-1.17147,0.971706,-1.00036,1.10613,0.532709,2.10498,-2.58421,-1.22235,-0.142853,-0.57356,-1.94123,-1.29875,0.240443,-0.589432,-0.504024,1.21708,0.368025,-0.128538,-1.96856,0.859699,0.851279,-0.431417,0.478196,0.68799,0.189243,-1.80471,-2.20162,0.290276,-0.516499,0.718553,-0.754937,-0.644957,0.871431,-0.120814,-0.257675,-0.862603,-1.0742,0.99799,0.185663,-1.12153,-1.18237,0.0352032,-0.373795,-0.31165,0.007138,0.79556,0.590421,-1.07318,-0.793395,-2.87335
