# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=737855710
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noint_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-161.421,0.99608,0.0731822,6,63,0,192.371,0.341768,0.983344,-0.507463,1.14683,0.735723,-0.759683,0.918445,-1.46824,0.197654,-0.905488,0.771894,-0.338527,0.148205,-0.452013,-0.671967,-1.17334,0.693375,-0.0972844,0.691663,1.21213,1.24575,0.937194,-0.546079,-0.637985,-0.225576,-0.858788,-1.05407,-1.96691,-0.638862,-0.78003,1.2808,0.232204,-0.51794,0.667399,1.11844,-0.543687,-0.0741504,1.14852,-0.603814,0.22169,0.795566,-0.740554,-0.525695,-0.296393,0.506197,-1.08433,0.642243,-0.842485,-1.74068,1.07662,-0.922859,-0.0973298,-0.838294,0.987521,1.15739,-0.680592,0.31521,-1.51846,0.247454,0.439695,-0.67949,-0.353671,-0.914287,-1.40065,-1.43307,5.71086,-0.354978,1.22904,-2.14712,-0.717833,0.0578827,0.198235,-0.111307,0.971846,-0.438747,-0.106994,1.7659,2.0477,0.497453,0.000185377,0.42547,-0.347287,0.29182,0.61034,-0.256269,-0.0558517,1.13003,-0.846198,0.474622,-0.392303,-2.66522,-0.214137,1.32256,0.558643,-0.893806,-0.866622,0.266285,-0.130142,-1.40553,-0.138617,0.820862,-0.970141,0.622814,-0.961833,0.374119,0.223179,0.376296,0.249932,0.283257,-0.790302,0.543205,0.26628,0.541281,2.21755,-1.63393,-1.27299,0.356842,-2.5519,0.481188,1.10782,-2.09678,-0.772534,0.152609,-0.373801,1.22445,3.79365,3.6226,5.35966,-2.04445,1.51161,0.966401,-0.699569,1.10046,-1.37028,0.640727,-0.667663,0.915759,0.105145,0.0885487,-0.382965,-0.532799,-1.13974,-0.210862,0.131569,0.919392,1.49077,1.09867,1.12525,-0.556378,-1.00794,-0.0147225,-0.810577,-0.876677,-2.06935,-0.428128,-0.873752,1.69921,-0.13633,-0.470425,0.873009,1.41381,-0.483115,0.12824,1.2867,-0.549163,-0.0238166,0.865892,-1.72868,-0.525695,-0.278602,0.751663,-1.25261,0.545387,-0.519502,-1.7931,1.25604,-0.940394,-0.105408,-0.722697,1.11846,1.21322,-0.680592,0.330929,-0.530142,0.247454,2.42712,-0.127602,-1.79365,-0.917062
-157.265,0.996487,0.0731822,6,63,0,188.79,-0.647224,0.554423,-0.0754178,-1.12093,-0.984389,0.927475,-0.563742,1.11198,-0.933695,0.39815,-0.639027,0.268614,0.251834,0.808052,0.45345,1.00023,1.07588,-0.64266,-0.942813,-0.048533,0.476125,-0.946412,0.536814,1.4438,0.215833,0.198043,0.857462,1.92628,0.261027,0.710258,-1.8404,0.798775,0.67575,-0.533807,-0.874543,0.548603,-0.380619,-1.33284,0.405588,0.221612,-0.821505,2.27367,0.606371,-0.221148,-0.441628,1.07169,-0.184732,0.471473,1.56597,-1.44155,1.50123,0.632592,0.349856,0.0156008,-0.89358,0.59917,0.551235,0.168342,-0.960502,-1.06821,-0.72877,-0.0418013,0.128759,-0.593665,6.83587,1.20082,0.14784,-0.947951,-1.04089,-1.42567,-0.0983974,0.950992,-0.459548,-0.299332,-2.29561,0.502605,-1.18699,0.019708,0.24136,-1.08998,0.69284,-0.755223,-3.59977,0.903505,-0.555377,-0.868704,-0.136587,-0.030759,1.51716,-0.897065,0.773553,-0.0892804,0.882135,0.247598,-1.06256,-1.05732,0.287982,-0.0490007,-0.536543,1.04433,-0.659893,0.0119927,-0.85191,-0.956258,-0.792137,-0.20942,1.59802,-1.16922,1.00957,-0.460861,-0.384595,0.932592,-0.588846,0.343142,-0.801737,0.51634,-2.03057,-0.435297,0.542928,-0.731065,2.98189,1.78247,1.05537,1.2721,-0.618931,-0.388289,-0.229784,-1.13818,2.35156,-1.72517,-0.708874,1.12862,-0.679954,1.37995,-0.483525,0.822357,-0.914867,0.584725,0.0248088,0.90929,0.753594,1.13411,-0.126534,-0.426783,-0.704071,-0.135138,-0.103628,-1.01956,0.634733,1.44764,0.233522,0.273795,1.12252,1.97731,0.456913,0.848202,-1.75003,0.799723,0.786728,-0.988093,-1.11344,0.634338,-0.100495,-1.2438,0.510718,-0.367672,-0.803719,2.12182,0.606371,-1.06881,-0.788105,1.3646,-1.57493,1.45538,2.40462,-0.741938,1.55408,0.3273,1.18925,-0.332287,-1.43265,0.59917,-4.20905,4.79093,-0.960502,-0.969493,1.8185,-1.8868,0.801794
-156.562,0.994785,0.0731822,6,63,0,195.031,-0.326487,1.00725,-0.0546704,0.96537,0.395384,-1.16057,0.725314,-1.3194,0.648873,-1.33206,1.60069,-0.834995,-0.275618,-0.965388,-0.539385,-1.07536,0.478263,0.410039,0.326113,0.0139604,0.945069,0.29688,-0.985598,0.243281,-0.202512,-0.616658,-0.920733,-1.85677,-0.988984,-0.537699,1.22343,0.136327,-0.770922,0.810574,0.853571,-0.140047,0.178342,0.946458,0.186789,0.425582,0.758559,-1.23113,-0.206764,-0.0702214,-0.627167,-0.102773,0.937418,-1.94696,-0.395317,-0.635221,0.430833,-1.04459,-1.23645,-0.164541,1.80358,0.111835,1.282,-0.579114,0.669061,-0.823096,0.753212,0.463587,-0.753609,2.12172,2.8314,1.24733,-0.804341,-0.591787,0.313931,-0.168839,1.34424,0.328299,-1.25701,1.5276,0.885119,-3.22246,0.814276,1.78299,0.532159,0.704681,1.38246,-1.5668,-0.723879,0.876216,-1.64514,-0.397704,1.62442,1.6196,-1.6405,0.696214,1.18489,-1.328,-1.16801,-1.44003,-0.407529,0.117702,-0.0081868,-0.136733,2.73588,0.162733,-0.738604,1.65471,0.461485,0.0684416,-0.27767,1.45715,-1.08862,-0.269129,0.565536,-0.73583,0.886548,2.01232,-1.35843,-0.438137,0.289049,0.00868922,-2.41638,-0.415645,1.63755,-1.02469,-0.118976,-2.0313,0.201987,0.287993,0.194041,2.33185,-0.260513,3.46591,-0.0737835,1.0134,0.482727,-1.12816,0.652528,-1.29307,0.751361,-1.22453,1.55907,-0.708201,-0.415364,-0.954758,-0.467832,-1.07086,0.332725,0.503586,0.381934,0.13762,0.908745,0.2936,-1.07772,0.254508,-0.113117,-0.604296,-0.886848,-1.83641,-0.940421,-0.550111,1.26221,0.0445905,-0.766877,0.846469,0.779164,-0.126463,0.25418,0.957183,0.191791,0.247877,0.747141,-1.6654,-0.206764,-0.0657213,-0.0380841,-1.97617,1.0953,-1.46701,-0.376793,0.323964,1.25725,-3.14742,-1.00508,-0.330276,2.47043,0.111835,1.23343,-0.686393,0.669061,-0.488295,3.04007,0.589636,-2.2726
-153.619,0.993198,0.0731822,6,63,0,186.182,-0.105058,0.419517,-0.35767,-0.563117,-1.11751,0.0842307,-0.485554,0.760418,-1.73816,0.665012,-0.750086,-0.518869,0.220191,1.26517,0.0827291,0.548118,1.37905,-1.43351,-0.716342,0.230102,1.19207,0.194705,1.03973,0.268736,0.0217407,-0.197675,0.286312,1.05367,0.774276,0.813869,-1.55296,0.514285,-0.229056,3.10605e-05,-0.867654,-0.125622,-0.571544,-1.08762,-0.233298,0.216299,-0.887094,2.32937,-0.0430398,-0.21419,-0.373933,0.147337,-0.210096,0.162145,0.14369,-0.454676,0.871439,1.80478,0.689549,0.461675,-2.01047,-0.346647,0.0820187,-0.778675,0.0414916,-0.421726,-2.14259,-0.143687,0.727361,0.0530688,0.419975,4.37762,0.876843,0.561169,-1.67955,-1.06065,-0.382493,1.63785,0.263723,-1.23962,-1.33035,-1.00515,0.652179,-0.234317,-0.997417,0.22584,-0.560933,0.873667,-0.306392,-1.60433,1.30469,0.568211,0.592333,2.12154,-1.6624,-1.3592,-2.13423,0.32429,0.39841,0.519713,-0.0903989,-2.38196,-1.12448,-1.10294,-0.34641,-0.401335,0.434148,0.20616,0.354806,-0.857753,2.7994,-0.731656,0.641852,-1.31447,1.64379,-0.116215,-1.3088,-0.746456,-0.322425,-1.35972,0.0362432,-0.848032,-0.877017,-0.0561584,-0.942896,-0.180687,-0.397871,1.6899,0.705342,-0.389212,-0.712724,-0.732594,-9.93552,-13.895,2.99684,-3.71334,-0.692754,0.66983,-3.59041,2.39171,-1.38392,2.40646,-3.08214,0.400844,-0.495055,1.9491,0.38587,0.899981,-0.136122,-1.15183,-0.116956,-1.04896,0.91983,-0.327939,1.43472,-1.49708,-0.391381,-0.0930026,0.910334,2.24538,1.72914,1.82615,-2.5627,-1.47972,-0.114668,-2.57883,-4.23598,-0.0029646,-0.337369,-0.931266,-0.100525,-1.49629,-1.83397,2.62574,-0.0430398,-0.636426,-0.518544,-0.17437,-0.558576,0.140163,0.0743089,-0.0181072,0.554903,1.16724,0.902129,0.0732967,-2.39774,-0.346647,-10.6479,-7.82919,0.0414916,10.0019,-1.60492,4.47616,15.3895
-158.587,0.984838,0.0731822,6,63,0,186.329,-2.14401,1.76206,0.541723,0.434816,-0.144289,-0.203146,0.558317,-1.50273,-0.0970718,-1.64013,1.1326,-0.866352,1.1569,-1.52158,-0.560079,-0.402891,1.38137,0.0891505,-0.424499,0.0200799,1.68335,0.562392,-0.30737,0.478927,0.0850772,0.423029,-0.783166,-0.407661,-1.63506,-0.402572,1.14126,0.756219,0.236296,1.30546,1.24185,-0.179267,-0.514248,0.831023,0.0183999,0.123623,0.411134,1.39564,0.303468,0.289921,0.604232,0.345721,0.59737,-0.616368,0.249243,0.0581785,0.0411357,-0.820717,-1.26642,-0.387395,1.30737,-0.0449704,2.48831,-0.382043,-0.554403,0.505582,-0.840159,-0.0195754,-0.133756,0.757221,1.44208,3.32373,-0.411501,0.482445,-0.186901,-1.76405,0.672526,-0.426998,-1.14829,-1.3892,0.0941637,0.832627,-0.109541,-0.15063,-0.587705,-1.91928,1.42134,1.13595,-1.0472,0.951967,0.741481,0.212904,0.462342,0.114767,-0.634813,0.0551548,1.90527,0.202026,1.00185,1.16611,-0.672582,-0.072696,-0.589871,-1.31664,0.615387,-1.2081,0.589455,0.689057,-0.77161,-1.81947,0.613573,-0.715613,-0.502651,-1.87379,0.0176787,0.713019,0.065232,-1.69276,0.713858,-1.69954,-0.239488,1.04442,0.158645,1.88425,1.63481,-0.728592,0.584868,1.08889,-0.885087,0.881845,1.28661,-1.22442,3.42387,13.7095,4.84799,1.57096,0.845034,-0.139207,-1.35101,-1.49274,0.997069,-1.58465,0.557194,-0.0849787,2.09583,-1.521,-0.201823,-0.399688,-1.29784,1.14955,0.419881,0.208375,2.58956,0.144939,-1.173,0.613517,1.29265,0.434969,-0.703224,0.446145,-1.59821,-1.08121,3.17517,1.59622,0.242075,1.30004,3.02432,-0.17474,-0.331071,0.990987,0.0217047,-1.63512,-0.19899,0.590543,0.303468,0.104331,1.12011,-0.0867553,-0.0224464,0.213853,0.456239,0.590448,0.514439,-0.694289,-1.24046,-0.64573,1.51492,-0.0449704,6.63705,-1.29935,-0.554403,0.453364,-1.00514,10.6544,11.1112
-168.918,0.773076,0.0731822,6,63,0,199.786,-0.602791,1.24275,-1.02069,-0.696856,0.112947,0.598132,0.674205,-0.915022,-0.758893,-0.69357,-0.156447,0.260956,-0.146527,0.439824,0.534289,-0.802947,2.17114,-0.495749,-0.396628,0.891333,-1.13632,-0.711192,-0.0567829,0.388259,-1.17262,0.436152,1.53696,-0.281555,1.23802,0.152406,-0.58398,-0.390381,-0.745967,-0.543744,-0.724867,-1.37202,0.869491,-0.0901499,1.59676,1.25809,1.07278,0.176407,-1.9095,0.620818,-1.21606,1.15724,0.564582,-0.734241,-0.0370317,-0.959515,0.00674764,1.01128,1.37595,1.39231,-1.10703,-1.25995,2.38832,0.489353,0.564461,-1.67688,-1.26146,0.574519,-1.18438,1.86707,-12.41,-3.2872,-0.49227,-0.335628,-0.0852174,-0.739052,2.12476,0.231043,2.21994,-1.32872,0.456783,-1.10922,1.61887,0.267086,0.811128,-1.94446,-0.31045,0.393543,-0.696434,-0.722649,-0.115476,1.33623,-0.775211,0.64267,-0.710623,-0.285722,0.659043,1.07627,0.839772,-1.84128,-0.627465,0.0995195,-1.45676,-1.06292,0.887492,-0.254143,-0.990991,-1.06337,0.498114,-0.859728,0.0749531,0.720183,0.302499,-0.46167,0.100893,-0.776722,0.281972,-0.171429,0.149718,0.217197,1.88966,0.456959,0.00169099,-1.35828,0.880253,-3.23217,0.109355,0.376835,-0.499494,-0.275844,-0.151385,1.65828,2.86408,7.16043,-2.90381,-0.674712,0.129812,0.605389,0.68763,-0.903687,-0.726275,-0.672211,-0.1487,0.293745,-0.14488,0.443928,0.54443,-0.800359,2.0426,-0.478856,-0.380207,0.895317,-1.14846,-0.700512,-0.0574738,0.391597,-1.15331,0.440332,1.55284,-0.280015,1.25427,0.164838,-0.557652,-0.407053,-0.742512,-0.534919,-0.708632,-1.36755,0.885012,-0.0826625,1.60216,1.23462,1.06992,0.137455,-1.9095,0.63494,-1.1403,1.15511,0.476253,-0.634654,-0.00485253,-0.885619,0.0456149,0.994526,1.4199,1.42644,-1.15579,-1.25995,2.74826,1.73825,0.564461,-1.16074,-0.852379,2.24707,-2.82095
-169.025,0.99103,0.0731822,6,63,0,196.323,-1.12187,1.20962,-0.626107,0.0722766,0.785454,0.278932,1.03709,-0.48081,-0.951624,-0.579208,0.0541365,0.96802,-0.841315,1.03597,0.889523,0.562941,1.70923,-0.887124,-1.23673,0.982075,-1.51313,-1.14422,-0.164514,0.67977,-0.865744,0.0990543,1.13316,0.000922223,1.82408,0.174703,1.04528,-1.00952,-0.904958,0.174988,-0.500678,-1.01458,1.43296,-0.792595,0.799857,1.02744,0.617256,0.281947,-1.41326,0.597861,-1.32541,0.0946537,0.773988,-0.989766,-0.0262134,-3.20326,-0.101825,1.64472,0.461011,0.858764,-1.09544,-1.35613,1.49573,0.404139,0.400643,-1.02081,-0.321511,0.648975,-1.05228,0.398924,3.0221,-4.35762,-1.30471,-0.763366,0.661237,-0.201336,-0.956042,-0.0942786,-0.392007,-0.289831,-0.826658,0.99742,-0.691748,-0.285798,-2.18933,1.40215,0.342272,0.94787,0.200725,0.0370471,0.259633,0.0800867,-0.150669,-0.851857,0.611566,1.05051,-0.462809,-0.212879,0.0274681,-2.35718,0.567624,-0.08425,-1.19405,-0.545369,-0.974601,-0.243514,0.756166,1.48304,0.714553,0.925121,-0.0947175,-1.31438,0.243537,-0.307366,1.74147,-0.184179,0.109401,-0.0487057,2.09187,0.108013,-0.456277,1.60552,1.33811,-0.480963,-0.380926,2.12512,0.488341,0.427381,-0.976573,-1.27061,-0.985838,-4.1127,-3.9569,5.47354,-2.55239,0.0736519,0.82499,0.288912,1.02962,-0.464689,-0.878538,-0.536157,0.0538907,1.03384,-0.860755,1.04365,0.914715,0.569736,1.31736,-0.84742,-1.20118,0.955171,-1.66924,-1.13211,-0.163882,0.63931,-0.84958,0.105948,1.16949,-0.0324717,1.86016,0.181754,1.09158,-1.12866,-0.899676,0.167034,-0.486462,-1.00781,1.46833,-0.784422,0.807919,0.952747,0.578405,0.119981,-1.41326,0.492368,-1.22695,-0.146673,0.284521,-0.746365,-0.131435,-3.09032,-0.383419,1.50782,0.573011,0.898071,-1.29777,-1.35613,-1.40205,0.778199,0.400643,-1.03452,-1.3596,-3.26955,-10.1722
-174.069,0.993443,0.0731822,6,63,0,208.512,-0.800759,1.39127,-0.234843,-0.0552442,1.97997,0.74306,1.65166,2.51155,1.4291,-0.813457,-1.52068,1.77526,-0.717115,0.500986,-0.105408,-0.709608,1.81062,-0.41485,-0.594472,-0.460856,-0.394601,-1.3935,-0.895147,0.511876,-2.4757,0.817841,0.720491,0.460221,1.58264,1.09968,0.562105,0.509611,0.00666022,0.327824,-0.66416,-0.0117903,0.72188,-1.73012,0.281506,0.489442,0.00382553,0.882587,0.0715307,-1.06275,-2.29719,0.128386,1.35969,0.0423771,0.378972,-2.20391,0.376039,0.759987,0.460642,0.856549,-0.789802,-1.72521,1.83768,0.14267,-1.13506,-1.24931,0.181771,-0.0506486,-0.639075,-1.2717,-1.68118,3.20189,-0.155956,0.514179,0.266986,-0.029371,3.05978,1.81465,0.0798521,-1.13766,0.176574,0.543077,-1.04891,-1.39869,-1.46223,-0.617795,0.840879,1.15425,-1.92108,1.78057,0.371589,-0.357636,-0.460799,-1.00443,0.572827,-0.906395,0.371386,-1.14237,0.814654,-0.993709,1.70921,1.20632,0.0390155,0.0936996,1.35134,-1.23299,-0.273611,-0.777595,-0.864241,-0.755594,0.3763,1.85873,-1.68349,-0.136568,-0.00943226,0.316269,1.0636,0.22781,2.15042,0.38619,-1.65837,-0.362504,-0.529863,0.903613,0.451087,-0.485945,-1.82214,-1.51852,0.331867,0.820073,-2.21034,2.01605,-0.00706042,8.94256,-0.877557,-0.167383,2.05261,0.757844,1.65102,2.53005,1.56718,-0.730925,-1.51332,1.87067,-0.707589,0.511686,-0.0490662,-0.701765,1.40735,-0.339756,-0.526123,-0.464737,-0.506844,-1.3584,-0.869965,0.49702,-2.50042,0.821585,0.785345,0.43573,1.62198,1.13632,0.64503,0.481522,0.0144409,0.352226,-0.596428,-0.00832606,0.785875,-1.71929,0.290387,0.323465,-0.0640284,0.727027,0.0715307,-1.96848,-2.71513,-0.159308,0.725215,1.08573,0.887055,-1.80312,0.427549,0.842904,0.838351,1.07888,-1.15404,-1.72521,0.545451,1.49563,-1.13506,-1.05765,1.31031,-2.23105,-2.72456
-171.325,0.997906,0.0731822,6,63,0,208.279,-0.468497,0.340302,0.681027,-1.3403,0.940466,-0.288098,-0.500865,2.51154,0.67101,0.537077,1.02239,1.86481,-0.236824,-0.580887,-1.60636,-1.86954,2.71062,-1.17383,1.01001,-0.341076,0.341251,0.530219,0.638244,-0.725208,-0.382948,-0.769538,-0.0793509,-0.544134,0.304501,-1.0943,1.00736,-0.743465,0.0218704,-0.0945041,-0.394944,0.302747,0.314922,0.42286,1.65818,-0.57582,-0.0417958,0.717028,0.0206081,0.551754,-0.394333,1.3471,-0.149371,-1.04327,-0.707679,-0.394264,-0.864109,2.17927,-2.37762,0.343758,-0.937304,0.0481363,1.76316,-0.986419,1.15399,-0.608376,-0.142311,0.37888,-0.777877,2.39137,-7.97031,0.39518,0.101234,-2.12574,-0.968266,-1.60582,-2.52267,-1.64824,0.698563,1.75882,-1.87497,0.718406,-0.726968,-0.272442,0.405125,-1.30181,0.140838,0.638025,0.613927,1.05066,1.56703,0.73313,-0.122799,2.5719,-1.02412,-0.794727,-0.639572,-1.67477,-1.39652,-0.649644,-0.474516,-0.0237147,-0.0414755,0.527264,0.0199892,-0.79513,1.68221,-0.270673,-0.0939745,-0.00158838,-0.455062,-0.0718908,1.4897,2.33489,0.381417,-1.21696,-0.725488,-0.528601,1.73155,0.238289,-0.867503,-0.747142,-0.662092,0.803277,1.69461,-1.01436,0.107577,1.37515,-1.06383,0.0711469,0.480315,-0.409166,-4.38841,-9.22388,5.74308,-1.48148,1.04504,-0.193733,-0.757013,2.67485,0.816895,0.674856,0.816576,2.01546,-0.189412,-0.547973,-1.54337,-1.81765,2.56113,-1.08752,1.10603,-0.479721,-0.13866,0.455615,0.684402,-1.03738,-0.27486,-0.737211,-0.0531829,-0.458586,0.342932,-1.26295,1.12639,-0.852499,0.0389387,-0.465537,-0.311304,0.338417,0.359003,0.496516,1.67677,-0.828531,0.0227472,0.330933,0.0206081,0.522332,-0.255612,0.640613,-0.695025,-0.542265,-1.0093,0.0619803,-2.08003,2.61426,-2.2592,-0.0506881,-1.1118,0.0481363,1.04448,-3.16203,1.15399,0.284545,0.182167,1.33956,1.36902
-171.807,0.998076,0.0731822,6,63,0,198.953,0.135386,0.782109,-0.742625,0.828539,-1.143,0.131692,0.630383,-2.68835,-0.188875,0.679988,-2.01667,-1.70381,1.28709,0.278573,1.25218,1.43017,-0.740256,0.544504,-1.47799,0.339325,0.376398,-0.82736,-0.118484,-0.306364,1.43599,0.157712,0.939703,-0.0398335,-0.387453,0.893985,-1.6797,0.353664,-0.357764,0.228984,0.437515,-0.312365,-2.12817,-1.83766,-1.77835,2.02316,0.110724,1.50669,-0.0328514,-0.0741562,0.628159,0.839495,0.371971,-0.136052,0.883477,-0.0338688,0.452947,-0.879015,-0.0663782,-0.352985,0.66049,0.815795,-0.421543,-0.534156,-1.13797,-1.02958,-4.10897,0.061849,-0.84198,-0.122654,7.95289,-3.26739,1.10142,-0.388282,0.207788,0.234104,-0.655276,-0.655758,-1.80269,0.281872,-1.48243,-1.65382,0.624917,0.73138,1.19779,-1.67713,0.967164,-0.00414795,0.0235342,-0.340339,0.044425,-0.642768,1.00412,-1.62701,1.05131,-0.83521,0.823498,-0.229994,0.676852,0.228724,0.932585,0.300312,-0.137706,0.149303,-0.195952,0.86404,0.893995,-0.795943,-0.367281,-0.0467283,-1.59204,0.00357403,-0.544588,-0.659516,-1.29631,0.549418,0.000454431,0.0647624,-0.691136,1.62614,-2.29581,2.29974,-0.478282,0.631031,-0.62474,-0.586567,1.75798,-0.429166,0.803137,0.296736,-0.955523,2.67788,-1.54938,2.45938,-3.02623,0.854126,-1.08919,0.153743,0.657115,-2.6515,-0.0770447,0.756275,-2.02058,-1.59679,1.21876,0.302046,1.2923,1.45122,-1.19401,0.601512,-1.42779,0.307473,0.156273,-0.801099,-0.122406,-0.408176,1.46867,0.181944,0.995555,-0.0653802,-0.330068,0.901344,-1.62763,0.168158,-0.3373,0.246344,0.408672,-0.287083,-2.07771,-1.81737,-1.75619,1.9823,0.0985885,1.37768,-0.0328514,-0.075121,0.633509,0.83828,0.361216,-0.127752,0.878976,-0.0276377,0.441085,-0.884279,-0.0607082,-0.350878,0.656276,0.815795,-2.80272,1.12694,-1.13797,-1.249,-0.995129,0.180285,-2.60835
