# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-87.5353,0.980877,0.409774,3,7,0,87.6603,0.103915,-1.25297,-1.20012,-1.11705,-2.86758,-2.9884
-87.4088,0.999507,0.409774,3,7,0,87.6199,0.130618,-1.23433,-1.60371,-1.42738,-2.51499,-2.87384
-88.2844,0.973218,0.409774,3,7,0,88.9048,0.444787,-1.47604,3.73711,1.64823,1.38061,-5.16941
-87.0356,0.932617,0.409774,2,5,0,91.2251,0.375536,-0.626114,1.89861,-8.04036,1.29886,2.38896
-86.7069,0.997573,0.409774,2,7,0,87.2692,0.376521,-0.906096,0.474738,2.96812,1.07828,-0.056614
-86.6925,1,0.409774,3,7,0,86.7172,0.269654,-0.93308,0.770938,-0.29588,-0.715972,-0.309941
-86.6835,0.999988,0.409774,3,7,0,86.7042,0.286873,-0.859699,0.600245,0.379183,-0.450373,0.338289
-86.971,0.988193,0.409774,2,7,0,87.1452,0.130105,-0.965598,-1.9268,-0.932148,-3.11021,-0.399286
-87.0926,0.984892,0.409774,3,7,0,87.6583,0.532676,-0.855933,-2.96971,2.11563,3.6762,0.680732
-88.8243,0.965905,0.409774,3,15,0,88.9847,-0.154362,-0.821993,-1.37514,-1.25684,-9.42392,2.14807
-87.6621,0.987771,0.409774,3,7,0,89.5653,-0.0124955,-0.857641,7.36759,-1.57959,-6.21251,1.06652
-87.3617,0.998685,0.409774,3,7,0,88.133,0.600872,-1.02967,-3.93998,-2.07759,4.10493,-0.710305
-88.5324,0.977156,0.409774,3,7,0,88.8819,0.630669,-1.43941,-2.71052,1.34014,3.17737,-4.47399
-87.5179,0.996681,0.409774,3,15,0,89.1699,0.436492,-0.50363,-6.6537,1.9019,2.75291,3.49114
-87.643,0.994575,0.409774,3,7,0,88.1759,0.25618,-1.3559,-3.60834,1.34623,-0.662918,-4.14601
-87.0958,1,0.409774,2,3,0,87.6394,0.309797,-1.20346,-1.09732,-2.83065,-0.0208108,-2.77731
-87.2054,0.995805,0.409774,2,3,0,87.2725,0.274378,-1.23777,-0.51679,0.963539,-0.489213,-3.08129
