# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2083475608
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_size_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-171.557,0.994688,0.0865761,6,63,0,200.45,-0.00444922,0.278813,-0.387149,1.03424,-1.55522,-0.827795,-0.287287,-0.73922,-1.12341,-1.39136,-0.848322,-1.6676,-1.69208,-2.74151,-1.62999,-0.0617615,-0.205076,-1.29342,-0.637423,-0.201634,-1.69318,0.487282,-0.397555,-2.20403,-1.10413,-0.0782636,0.24525,0.744443,-1.77472,-0.729121,0.750478,-0.145059,-0.660792,1.06936,0.825758,-0.137297,-0.588264,-1.16856,-0.452272,0.621604,0.828168,0.740341,-0.971449,0.190936,0.141279,0.739966,-0.471409,0.0808427,0.0894856,0.807246,0.390051,0.78032,-0.467808,-0.125598,-0.0697027,0.623081,-1.09312,-1.80762,-0.920507,-1.426,-1.20826,-0.796095,2.62113,-0.331582,0.611907,-1.0975,-1.3621,1.9457,-0.344078,-1.49054,0.431996,0.103566,0.439879,-1.02017,-1.37274,-0.629737,-0.918629,1.29742,1.1644,0.71078,0.185193,-0.830468,0.499966,-1.06206,1.22907,-0.889236,-0.0955639,-0.886517,-0.0971195,-1.10054,-1.08927,0.875693,1.17257,-0.585307,0.994678,1.82933,0.133693,-0.532232,-0.213585,0.290241,-0.202159,-0.0885109,-0.0910378,0.931015,-0.375934,1.78089,-1.91742,0.439283,-0.457249,0.625692,1.33316,-1.30051,0.0809991,-1.07559,-1.88298,2.18746,0.555713,0.784006,-1.98461,-0.137372,0.530873,-0.881642,-0.232054,0.78877,-7.59867,3.99467,-0.515133,1.09334,-1.50153,-0.952449,-0.178157,-0.638656,-1.01757,-1.51049,-0.747815,-1.85382,-1.64548,-2.68809,-1.57891,-0.253427,-0.149225,-1.241,-0.748114,-0.732092,-1.73065,0.497506,-0.674609,-2.23896,-1.057,-0.0250899,0.271632,0.796498,-1.94755,-0.678891,0.62246,-0.0898915,-0.770405,1.01771,0.878511,-0.0839235,-0.533906,-1.11913,-0.705513,0.679005,0.568717,0.740341,-1.10442,0.212744,-0.0223827,0.648127,-0.344944,-0.0711559,0.194002,0.318693,0.306108,0.909729,-0.534155,-0.151959,-0.0697027,-0.563335,-0.930503,-1.80762,-0.19372,-1.07182,-1.61828,0.25341
-167.938,0.998409,0.0865761,6,63,0,202.158,-0.0878136,-0.406369,0.341317,-0.259969,1.10815,-0.0144764,-0.878506,0.421622,0.228493,-0.142246,-1.18748,0.687184,1.85447,0.373741,0.223157,0.849691,-0.375785,0.494695,-0.142238,-0.242728,0.498128,-0.258035,0.418409,2.86055,-0.17568,-0.237711,-1.99861,0.134685,1.77505,-0.144827,1.86743,-0.420752,-0.177412,-0.0910355,-1.64438,0.698409,-0.796568,-1.96914,-1.03535,0.485018,0.591934,-1.24593,0.0438505,-2.04421,-0.687978,-0.633241,-0.616499,0.732652,0.432912,1.35733,0.56712,-1.13102,0.104193,-1.00416,-1.07957,-0.26153,-0.509584,-0.370113,-0.774737,-0.102952,-1.4216,-0.407185,3.19601,5.26408,-0.697188,1.28566,-0.957468,-1.08567,-0.197786,-0.298123,-0.601199,-1.71313,-0.896837,-1.9706,-0.712133,-2.67402,-1.42517,-0.312384,-0.121517,-0.8621,-0.845744,-1.36996,-1.61282,0.566451,-0.722251,-1.41546,-1.02175,0.0616162,-0.323632,1.04806,-1.58562,-0.616964,1.27989,-0.0862022,-0.907485,1.19489,0.474503,0.39298,-0.651278,-1.68755,-1.44536,1.4332,0.494894,0.394991,-1.11068,-0.393219,-0.393003,0.476971,-0.106319,0.625429,0.690371,0.284007,0.688914,1.06287,-0.423784,-0.72094,-0.625435,0.13901,-0.354487,-2.07573,0.0279992,-1.47086,-1.12166,2.57295,-8.37032,-0.250911,-0.305666,-0.162463,1.21595,-0.25047,-0.712481,0.67948,0.461701,-0.248395,-0.949768,0.424438,1.99746,0.503438,0.347447,0.095912,-0.275707,0.598792,-0.365335,-0.92246,0.522304,-0.285167,0.200631,2.99674,-0.0620738,-0.156476,-2.13068,0.20528,1.78265,-0.176346,1.63518,-0.35071,-0.460769,-0.335568,-1.54979,0.860168,-0.711007,-1.91183,-1.41399,0.640183,-0.274164,-1.24593,-0.282418,-3.07953,-2.44364,-1.54728,-0.0141682,0.620684,0.95552,0.0197826,0.0746605,-0.507608,0.223647,-1.91591,-1.07957,-1.65147,-0.461738,-0.370113,-1.27241,1.69194,-0.419542,3.90942
-168.631,0.998309,0.0865761,6,63,0,192.387,0.583616,-0.897324,-0.798411,-0.550782,2.09344,0.624466,-0.367741,0.497199,0.349207,0.284525,-0.610928,1.1619,1.64561,0.150821,0.300228,1.01377,0.700223,-0.669325,0.216981,0.949011,0.895474,-0.187348,0.653048,1.15113,-1.62053,0.070203,-0.723206,0.405208,0.954117,0.777155,1.92547,-1.09311,-0.489211,-0.291149,-1.87754,-0.354295,-1.88194,-1.02475,-1.09495,-0.162667,0.162808,-2.06689,-0.526704,-1.53202,0.874327,-0.577558,-0.86372,0.732644,0.311899,0.993745,0.360186,-0.72233,-0.125097,-1.52888,-0.650999,-0.352611,-1.26021,0.971522,-0.00647911,-0.531677,-2.0629,-0.713344,-1.21602,2.20073,1.23408,0.239857,-0.190314,-0.702398,-0.712228,0.266198,0.151866,-0.446574,-0.88317,-0.250939,1.10166,0.452546,0.103166,-0.046994,-1.00015,1.08594,-0.528721,-1.7057,-0.0847793,-0.197031,-0.100476,3.10944,1.25435,-0.330364,-2.14804,-0.109205,1.68196,-0.969055,0.7497,0.417077,0.196888,0.0674466,-0.513298,1.27207,0.727419,-1.71599,-0.513557,0.721203,0.386573,0.158131,0.579654,-1.45459,-1.84471,-0.326338,0.156337,0.399882,0.451329,0.884072,0.453968,-0.677551,0.416913,-0.277951,-0.788011,-0.123162,0.766613,-1.08032,-0.835746,0.0917711,0.229394,1.90356,6.73574,-3.39264,-1.08063,-0.354433,2.31111,0.925347,-0.0249384,0.907244,0.722811,0.356956,-0.226481,1.06727,1.85424,0.283621,0.475501,0.624213,0.90624,-0.512123,0.0975256,0.647592,1.04474,-0.214468,0.564267,1.30332,-1.48255,0.256324,-0.895422,0.605713,1.07427,1.01812,1.9269,-0.955804,-0.447538,-0.466009,-1.737,-0.159461,-1.75466,-0.863074,-1.21727,0.0967681,-0.260366,-2.06689,-0.436102,-1.39944,1.04686,-0.355806,-0.446946,0.90535,0.55785,0.952153,0.43919,-0.311207,0.129414,-1.77227,-0.650999,-0.320655,-0.878535,0.971522,0.107508,-0.766751,-1.36518,-0.0833434
-174.739,0.993194,0.0865761,6,63,0,206.084,0.107363,0.592753,-2.10038,0.367936,0.694441,-0.200365,-0.0531886,-0.663292,-1.113,0.183152,1.02341,-1.9385,-0.599627,0.186125,-0.668135,-0.809234,0.349436,1.68066,-0.372976,0.152781,-1.56264,0.989006,1.20007,-1.58078,1.75153,-1.41225,1.80944,0.540014,-0.955295,-1.24353,-1.20908,-1.18659,0.641516,0.907504,-0.000851842,0.780213,1.7462,-1.37972,0.219975,-1.37334,1.30652,0.741682,1.25622,0.398409,-0.476875,-1.11625,-0.57993,0.0511417,-1.79621,0.479093,-2.2364,-1.28157,-0.693027,0.491632,0.192796,1.13578,-0.597123,0.97294,-0.574543,-1.849,0.105651,-0.685171,-3.99875,3.33766,2.96951,0.192008,-2.45812,-0.830733,0.0364474,-0.730952,-0.411419,-0.441246,-0.0964474,-0.0155268,-1.67939,-0.510577,-0.245238,0.195294,-1.0683,0.499624,0.527408,0.14251,-0.431905,-0.22707,-0.297412,-0.258881,0.862235,0.494414,0.23046,-0.933541,-0.495729,-0.32,-0.729025,1.37075,0.140222,0.128899,1.80834,-0.054277,0.989028,1.69732,1.31657,-0.232668,0.631663,1.97168,0.0856552,1.10797,-0.0598544,0.751346,0.783865,-0.373182,0.355384,-0.00748004,1.51965,0.99337,0.748338,1.78378,0.598485,-2.4599,-0.86298,-0.916031,0.673353,-0.347267,0.22294,-1.70758,-1.61595,4.76242,-2.33785,0.480582,0.815752,-0.45096,0.141766,-0.495125,-0.927475,-0.00919003,1.2179,-2.17752,-0.518865,0.301756,-0.582932,-1.0577,0.458769,1.80485,-0.42238,-0.365974,-1.66146,1.01826,1.03899,-1.50596,1.85689,-1.34756,1.92414,0.618246,-1.13379,-1.1232,-1.33196,-1.11029,0.439814,0.938796,0.0854602,0.872879,1.86998,-1.31492,-0.0295214,-1.26646,0.930029,0.741682,1.26123,0.42397,-0.586787,-1.18353,-0.451391,-0.00971837,-1.6904,0.327227,-2.25065,-1.20423,-0.75185,0.482806,0.192796,-0.163395,-0.212768,0.97294,0.537809,-1.06992,-1.59366,0.0286476
-179.14,0.989719,0.0865761,6,63,0,212.16,0.234276,-0.220162,1.7847,-0.731529,-2.4718,0.344139,-0.826103,0.736338,1.69619,-0.241172,-1.18331,1.95716,0.435299,-0.716512,-2.42428,0.730374,-0.382001,-0.909757,-0.390677,-0.844598,1.15318,-1.89238,1.40461,0.907586,-0.632999,1.18011,-1.20532,0.875248,0.23554,0.152202,1.1493,0.0864061,-1.32423,1.17856,2.13557,0.470694,-2.18902,0.198547,-0.180802,0.141335,-0.595712,0.353051,0.718808,-1.17217,1.88834,0.171192,-0.166348,0.696797,1.12319,0.265047,2.20788,-0.251455,0.101989,1.60255,-1.1407,-0.0711403,-0.325547,-0.370451,0.730128,0.154469,0.190862,-1.04126,0.590687,4.41713,-1.32962,-0.0619921,0.00807493,0.00737712,-0.385106,-0.220286,-0.675793,0.0669942,0.629363,-1.08928,-0.527846,-0.333816,-1.92288,-0.603026,0.224142,1.52568,-0.922889,-0.654572,-1.22959,0.104235,2.57086,-1.41285,1.65312,-0.994709,1.49495,1.04444,-1.08437,-1.60114,-0.705708,-1.24093,-0.0726572,1.96258,0.715226,0.961272,0.717379,-1.51718,0.159011,-1.29007,1.1268,1.01816,2.20103,0.161404,0.122395,-0.975823,-0.278263,-0.0586104,-1.19818,0.735819,-1.54137,-1.33777,-0.895173,0.461873,0.193879,0.978779,-0.885279,0.889964,0.465803,0.810496,0.278152,3.58658,2.33562,0.899243,1.9517,-0.517981,-2.33199,0.616673,-0.476177,1.1989,2.17696,-0.403721,-0.817285,2.1252,0.646244,-0.562337,-2.28467,0.634129,-0.186383,-0.748783,-0.699969,-3.1862,1.30443,-2.00982,1.2941,1.20794,-0.445042,1.40657,-1.31839,1.08526,0.163853,0.361046,1.17732,0.278163,-1.94366,1.50694,2.38248,0.686956,-2.08655,0.398909,-0.307082,0.457213,-1.24041,0.353051,0.913531,-0.855689,1.87776,0.0510388,0.248796,0.800289,1.39685,-1.1065,2.70273,0.222684,0.214255,1.66686,-1.1407,-0.804035,1.38922,-0.370451,6.36678,0.930238,-0.295805,5.37856
-187.762,0.907203,0.0865761,5,31,0,220.619,0.46549,-0.467203,3.59707,-1.31581,-2.3037,1.27648,0.266333,0.950751,0.585019,-0.647919,-1.33364,1.60757,0.563058,-0.910401,-0.758821,0.900678,-0.70621,0.99019,-0.0337618,-0.576571,0.545176,0.373474,0.909035,1.76557,-0.576556,0.0810176,0.0358241,0.348365,-0.434202,-0.184603,0.341967,-1.01605,1.70281,0.447333,1.26805,1.1823,-3.17323,0.403574,-1.45901,1.53878,-0.761691,0.916904,-0.0796536,-2.92058,2.71319,-0.336308,-0.481027,0.388147,0.718413,0.518277,1.84057,-1.75919,0.635324,0.234323,-0.033238,-0.806063,-1.79235,-1.102,-3.91146,-0.339422,-0.125394,-0.999965,-2.07034,1.212,-0.138442,-0.104403,-1.62957,-0.476829,-1.01485,0.332239,1.58625,0.0543689,-0.655951,1.42886,0.236703,-0.319825,-2.35004,0.285083,-0.0795756,-1.22498,-0.492229,-0.808139,1.04467,-2.37738,1.13117,0.0478951,-0.416257,1.345,-1.40367,0.827113,0.541192,0.312268,1.23765,0.574157,-2.58177,1.16476,1.75806,-0.0172032,-0.802107,0.0249958,0.539834,-0.286617,-0.324853,-0.065855,0.865872,0.116901,0.772515,0.237721,0.24648,0.331777,1.07473,-0.696278,1.71113,0.851083,-0.272277,1.46848,-1.09639,-0.951504,1.59388,0.0086311,2.44439,0.384799,0.530906,-1.0667,-1.41361,-1.19376,3.59062,-1.31341,-2.30138,1.27838,0.270169,0.955075,0.588972,-0.648898,-1.32927,1.60478,0.565055,-0.908838,-0.756776,0.891629,-0.704074,0.992203,-0.0370209,-0.58981,0.545614,0.373501,0.903132,1.76532,-0.574642,0.0827283,0.0352493,0.350038,-0.435535,-0.183313,0.333583,-1.01447,1.70103,0.446381,1.27002,1.18434,-3.17121,0.405289,-1.46071,1.54126,-0.767719,0.916904,-0.0882159,-2.9942,2.73449,-0.407658,-0.208791,0.122466,0.924493,-0.113619,1.90242,-1.52243,0.687137,0.0455048,-0.033238,-2.28393,-0.797425,-1.102,-1.01671,-0.717837,-0.709862,-3.65085
-185.289,0.998053,0.0865761,6,63,0,221.045,-0.193644,-0.00753327,-4.06269,0.931079,2.43542,0.11615,-0.150267,-0.477707,-0.610304,1.05406,1.28686,-1.2613,-0.666542,1.09101,0.36125,-1.64183,0.767683,-1.03307,0.512298,0.390554,-0.331852,-0.743275,-0.915065,-1.92385,0.356757,-0.544439,-0.133835,-0.344401,0.803084,-0.759754,-0.324917,1.05601,-1.39371,-0.498292,-1.31223,-1.13036,3.37647,-0.028684,1.55932,-1.36526,0.952678,-0.866764,-0.435456,2.11166,-2.37853,0.160167,-0.376271,-0.303019,-1.03815,-0.0622201,-1.51732,0.878146,-0.766314,-0.0895732,-0.0363037,1.52948,0.642633,1.10571,-1.76398,-1.21733,0.0564575,-0.582357,1.22716,0.760364,-0.10082,-1.3096,0.939518,2.91089,0.791208,1.35594,0.0444188,1.37991,-0.224861,1.15356,-1.25988,0.330865,-1.69812,-1.07667,0.342212,0.691202,1.05672,-0.72291,0.864839,-1.29375,0.034093,-0.0292087,-0.930053,-1.49694,-0.339707,0.116949,0.871753,-2.28747,0.0821991,0.202911,1.17607,-0.0880239,-0.0867218,0.475978,0.127659,1.46285,0.101549,-1.09986,0.664016,0.317295,-1.45089,-1.70824,-0.826397,-2.51141,-1.11956,0.650572,0.778632,-0.972437,1.37093,-1.50563,-0.150435,-1.05721,0.856284,-2.15884,0.703669,-0.047223,-1.95032,0.514296,0.0489427,3.70167,1.65835,0.698518,-4.07386,0.970069,2.47584,0.0703491,-0.0722492,-0.403328,-0.533413,1.0288,1.3644,-1.33224,-0.632295,1.12848,0.395136,-1.72626,0.810539,-0.992647,0.501736,0.211063,-0.330807,-0.748223,-1.00723,-1.90255,0.392848,-0.506831,-0.117696,-0.304383,0.785014,-0.702461,-0.378243,1.09524,-1.41201,-0.527607,-1.27805,-1.09522,3.4206,0.00946975,1.52782,-1.31493,0.763882,-0.866764,-0.364641,2.32717,-2.64661,0.167277,-0.0777391,-0.371459,-0.820759,-0.436544,-1.57131,1.14213,-0.748986,-0.136069,-0.0363037,0.495064,2.67549,1.10571,-0.671197,0.369699,-0.217669,2.9036
-180.52,0.976481,0.0865761,5,63,0,215.114,-0.509169,-0.0323417,-3.56797,0.20702,2.40021,0.144033,0.0733437,-0.609176,-0.316313,0.37728,0.824421,-0.864514,-0.884708,1.35025,-0.393184,-0.80754,0.350996,-1.20631,0.591918,0.402586,-0.709934,-0.988591,-1.08157,-1.98405,0.410722,-0.883387,0.288827,-0.685638,0.387353,-0.498406,-0.259375,1.32828,-1.8032,-0.894877,-0.572965,-1.21479,2.61926,0.403714,1.76746,-1.2072,1.15008,-0.547354,-0.379926,2.37485,-1.79956,0.853853,-0.228668,-0.533696,-1.72325,-0.322592,-1.21743,1.1292,-0.221892,-0.364375,0.981841,1.6783,0.306952,0.719608,-2.00422,-0.857871,0.745211,-0.793282,3.44586,0.408811,-2.19372,1.96543,0.614691,-0.061816,-0.500034,0.255196,-0.731949,1.76736,1.28101,-1.28884,0.288893,-0.398732,1.7642,-2.79323,1.06696,0.0958776,-0.0946143,0.0362442,0.789105,0.396657,0.19541,-0.266131,-0.0367125,0.67575,-0.985555,0.697403,1.20735,-0.822679,-0.249799,-0.341844,0.678805,0.855367,-1.84714,-0.0649666,2.55059,-0.991435,-0.131179,-0.557703,-0.23746,-0.907296,-0.186919,-0.083143,-1.95596,-1.38556,-0.336197,0.385026,1.36761,0.690641,-1.08972,-0.333092,-1.62631,0.500189,-1.82813,0.632176,1.495,0.94631,0.175842,-0.458379,-0.00725613,4.55523,2.24122,0.222336,-3.55179,0.229813,2.42344,0.102832,0.114679,-0.568895,-0.275083,0.351051,0.86337,-0.882944,-0.867682,1.36772,-0.377323,-0.843945,0.375518,-1.18277,0.585616,0.335629,-0.715717,-0.999599,-1.11145,-1.96551,0.428082,-0.864673,0.300574,-0.665396,0.385785,-0.463213,-0.271473,1.3477,-1.82273,-0.896331,-0.555953,-1.19797,2.64356,0.422895,1.75451,-1.17633,1.00965,-0.547354,-0.23352,2.6559,-2.22627,0.907712,0.0768473,-0.531246,-1.5177,-0.52168,-1.21628,1.36905,-0.269043,-0.481687,0.981841,3.67137,0.527555,0.719608,-1.02612,0.811268,4.51957,4.52827
-180.888,0.993578,0.0865761,6,63,0,223.178,1.18657,-0.184014,3.62894,0.838873,-0.92811,-0.954085,0.256689,-1.12896,-0.156365,-1.0807,0.949281,1.24187,-1.40537,0.13142,0.486932,1.15079,-0.427161,0.95138,-0.961817,0.805202,3.11935,-0.220719,0.609135,1.0052,-0.250835,-0.0670903,-0.698606,0.221996,-1.52472,0.456982,1.34671,-1.59393,0.852155,-0.147949,0.209246,-0.931582,-2.5007,0.0668864,-0.0912633,-1.78576,1.90039,-0.627349,-0.961793,-1.07905,0.237641,-0.347545,0.116102,0.157899,1.063,1.67298,2.03828,0.309689,1.45023,0.915246,-1.01719,-0.340652,-0.91541,0.74759,-1.35953,-0.163686,0.751118,0.044413,2.66524,-0.804489,-1.24525,1.32829,2.23585,-1.55958,0.436392,-2.17327,-0.213477,-0.472941,1.62337,-0.372459,-1.33516,2.32812,-0.0453523,-0.55793,0.282962,-0.89473,-0.538063,0.223303,1.28798,-1.47872,-1.30706,-1.69368,0.456844,-1.07804,-0.169573,-0.540016,-1.07514,-0.00616716,0.53949,0.713733,-1.68666,-1.46383,-0.412471,-1.76152,1.49323,0.704188,1.65385,-0.993873,1.19608,-1.15176,-1.16023,2.23674,-1.83824,1.00527,-0.579174,-0.204459,-1.80255,2.39323,0.106496,1.59448,1.80391,0.162673,0.749567,-0.848762,-0.405771,0.825264,1.2283,0.734256,-0.785425,0.651977,4.9185,3.64274,3.51576,1.03727,-0.766369,-1.25998,0.568527,-0.807168,0.0707171,-1.16455,1.35433,1.41814,-1.26398,0.296535,0.689954,0.768714,-0.283654,1.1412,-0.9192,0.743051,3.28325,-0.119387,0.682139,0.976918,-0.210998,0.0334052,-0.578838,0.267466,-1.71963,0.579737,1.149,-1.52251,0.484684,0.0730763,0.254802,-0.764784,-2.37269,0.169843,-0.464004,-1.83401,1.1363,-0.627349,-3.31428,-0.863746,-2.10936,-1.4245,1.96222,-1.05262,3.33249,3.14895,5.97735,1.62711,2.18237,0.303668,-1.01719,4.88071,4.34009,0.74759,-2.7091,15.5397,-5.47024,12.5832
-166.117,0.995622,0.0865761,5,31,0,203.034,0.472105,-0.449431,-0.533076,0.299936,-0.0538647,-0.337666,-0.10947,-1.026,0.306534,0.482837,-0.177219,-0.333948,-0.364688,-0.289187,-1.42545,0.775422,0.508492,-0.85586,0.385058,0.144756,-1.89767,0.100809,-1.46431,-0.54246,0.724421,0.382244,-0.196023,1.46811,2.47679,0.19623,-0.210768,0.0929472,-0.225985,0.561458,1.63552,0.626341,1.91337,0.625806,0.601239,1.4894,-0.742944,-0.0739286,0.739006,-0.527481,1.54534,-0.766494,-0.478347,-1.30432,-0.959207,-0.247547,-0.225134,-0.527198,-0.0564167,0.412075,0.493394,0.25607,-1.13973,-0.71834,0.200756,-4.23578,0.419076,-1.14564,2.04304,-0.826987,4.08931,1.27712,-0.920529,-1.37993,0.565429,-1.40266,0.332976,-1.13278,1.3474,1.11696,-1.73412,0.128531,-0.0766754,1.27826,-0.0114958,0.696254,-1.14557,0.397938,2.59874,-0.277562,-0.436077,0.985243,0.237992,0.252585,-0.920422,1.17817,-0.675587,0.811986,1.14736,-1.64798,0.775615,0.0579859,1.35237,-0.552073,-1.80143,0.538559,0.158581,-0.646852,0.743963,-0.754298,-0.798132,-1.38407,0.807356,-0.910552,0.0660981,-0.870164,0.876225,1.7761,2.38259,0.231016,1.66827,1.23674,-0.836126,-0.976442,0.405632,0.350752,0.0367126,0.357402,0.443783,2.39665,0.137,-1.59098,-0.579979,0.408886,0.0494469,-0.398713,0.0868442,-0.836959,0.506506,0.443961,0.0254373,-0.517481,-0.276705,-0.218877,-1.35485,0.569677,0.619031,-0.756973,0.313066,-0.302305,-1.9673,0.0614907,-1.8622,-0.531108,0.823012,0.479888,-0.20817,1.57672,2.54037,0.332571,-0.505125,0.183645,-0.277621,0.55369,1.74176,0.725316,2.02757,0.725433,0.610127,1.67333,-1.44838,-0.0739286,0.741409,-0.52425,1.53878,-0.765377,-0.473162,-1.30579,-0.955943,-0.255993,-0.225665,-0.522718,-0.0566596,0.409931,0.493394,-0.373331,-0.480609,-0.71834,2.27125,-1.00117,-0.391836,-1.33431
