# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=922673813
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_treat_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-159.193,0.991485,0.0670558,6,63,0,190.415,-0.54914,0.372213,0.127333,-0.297613,-1.40728,-1.18435,-0.384935,-0.286133,-2.33023,-0.597484,0.121876,-0.725321,1.02314,0.323195,-0.217837,0.356876,1.98342,-0.302012,0.656009,0.930523,1.19071,0.629444,-1.48106,-0.17149,-0.736096,-2.15366,1.63801,0.22824,-0.231838,1.80008,0.420537,0.91468,0.237287,1.37043,0.0411055,-1.52015,-2.05583,0.527823,0.674196,1.10861,1.00221,0.558387,-0.0208274,-1.44179,0.484748,1.32064,0.244104,-0.755666,-1.65398,-0.2806,0.676036,0.349624,0.0982058,0.480301,-0.603195,-0.686338,1.44407,0.00435142,-0.637422,-0.910445,-1.75019,-0.837568,0.265263,2.05667,2.06421,-8.8356,1.63966,1.01869,-0.399566,1.31641,0.619856,-0.549869,0.51607,-0.524692,1.44407,1.44716,0.515439,-0.377155,0.298448,1.33069,-1.34049,1.78243,-0.806106,0.125185,-0.230607,-0.210721,-0.190038,0.323819,-1.04479,0.123489,-0.304588,1.15562,0.855156,0.826447,0.638673,0.0348554,-2.0099,-0.674039,-1.09122,1.57247,0.884762,-0.0843668,0.692589,1.47697,0.905236,0.0750559,-0.564862,-2.11563,0.52285,-0.438278,-0.971649,-1.10712,1.31815,0.0122892,-0.0375276,1.24596,0.792349,-0.639163,-0.341785,1.07203,-1.69232,-0.587752,-0.743359,1.76473,1.55847,3.52053,-0.16552,-7.58223,-0.694747,-0.4128,-1.05296,-1.00831,-0.70829,0.0420974,-1.98669,-0.267319,-0.251028,-0.250491,0.849863,0.472983,0.027587,0.505273,1.4627,0.0553196,1.11062,1.07188,0.101603,0.654813,-1.75024,-1.15909,-0.830805,-2.12141,2.02455,0.474939,0.0570872,1.91213,0.920134,0.433093,0.372248,1.54533,-0.196923,-1.47601,-1.93555,0.765225,0.835711,0.535453,1.18641,-0.396413,-0.0208274,-1.73237,0.838588,0.997735,0.318729,-0.230161,-1.71364,0.10646,-0.00144877,0.0816832,0.469835,0.39491,-0.629478,-0.686338,0.100233,1.30437,-0.637422,-4.38893,-1.5914,-2.50218,-6.67583
-152.85,0.992862,0.0670558,6,63,0,193.985,-1.36841,0.996372,0.166801,0.704444,0.0402033,-0.496228,0.840065,-0.499828,0.337272,0.394915,1.07707,-2.41518,0.679863,0.0494454,-0.0770795,1.1171,1.66144,-0.432787,-0.118704,0.163627,1.05508,0.372632,-0.423355,1.58067,1.18221,-0.515453,-1.03517,0.315904,-0.628188,1.74281,0.184714,2.29306,-0.251875,-0.274207,0.650155,-0.745008,-0.541357,-0.332318,-0.816627,1.42258,1.48274,1.62852,-1.47435,0.160573,-0.686618,0.34014,0.884013,-1.5746,-1.7759,-1.42218,0.890885,0.492737,-0.478021,0.516629,-1.32928,-0.58181,0.264209,-0.0301339,0.164398,-0.960203,-1.68432,0.797161,0.720497,-0.822896,11.0586,0.852557,1.09641,0.862179,0.983921,1.96298,-0.0242379,2.01809,0.34084,0.84799,-0.353473,-1.36058,-0.459478,-0.119423,-0.222858,-2.34736,-0.725901,-1.27175,-0.78131,2.10496,-0.585566,2.08946,1.3278,1.67119,2.15165,-2.32985,-0.13501,-0.188923,-1.87859,-0.619555,0.940616,-0.421233,-1.66739,0.557039,1.36424,1.75845,-0.738254,-1.31059,-0.4671,-0.77273,1.34206,-0.317435,1.98017,-1.00985,-0.764753,-1.05552,-0.165852,1.29526,-0.515477,1.43213,-0.204331,-0.75362,-0.159669,0.253037,0.516145,-1.16977,-1.02728,0.748152,-0.410799,0.0605715,1.58249,-1.04398,0.819488,8.08207,9.9308,1.20103,0.988017,-0.418231,0.313589,-0.424109,1.69313,0.778722,0.68652,-2.28216,0.489453,0.0838645,0.270855,1.19399,-0.841588,0.28164,0.488948,-0.0670092,-0.214848,0.193803,-0.844661,1.89598,2.42666,-0.496005,-0.920225,0.666482,-0.420061,2.19405,0.556832,2.69626,-0.23311,-1.52875,0.794898,-0.728742,-0.282883,-0.288619,-0.804545,1.06758,1.54545,0.478052,-1.47435,0.569689,-0.457271,0.0245029,0.0804144,-0.930752,-1.12779,-1.00428,0.846778,0.340628,-0.344628,0.257306,-1.84014,-0.58181,15.9866,-11.0157,0.164398,-5.184,-4.116,5.70427,-3.05714
-154.678,0.921505,0.0670558,6,63,0,189.077,-1.69428,0.798702,0.224294,0.885357,-0.47001,-1.3604,0.291899,-0.655568,-0.184123,0.457993,1.0334,-2.234,0.846116,0.00776301,0.202765,2.02736,1.67333,-0.907756,0.251874,1.11207,1.67707,1.05552,-0.101883,1.71176,0.89812,0.122117,-1.09471,-0.118216,-0.675446,1.97109,0.6278,2.35557,-0.0540601,-0.121298,-0.577195,-0.743295,-1.20156,0.298736,-0.416363,1.11592,0.94275,1.24695,-0.921638,-0.215943,-1.17777,0.446954,0.797777,-0.640914,-1.55989,-1.97455,0.499708,0.855868,-0.753983,1.36618,-0.729416,-0.530511,0.106118,-0.112681,-0.421708,-0.565335,-1.30393,0.564004,0.945689,1.22504,7.37769,-0.198547,-0.170884,1.26775,1.61698,1.55315,0.182721,1.54754,0.0913565,0.387375,-0.958157,-0.320466,0.12323,-0.383629,-1.40765,-0.279625,0.919221,-0.530461,-2.38843,-1.35176,-1.25814,-0.926974,0.342828,1.39153,-1.43057,-0.118346,1.02126,-0.00898935,0.292781,-0.744505,0.809719,-0.463338,-0.978018,2.80106,-0.177432,1.04879,-1.2292,-1.13924,0.723657,1.61046,0.803999,-1.24258,0.902036,1.08837,-0.380532,0.186561,-1.92451,-0.673929,0.870586,1.18025,-1.25137,0.530104,-1.58035,-1.59425,-0.252204,0.743335,0.0732897,1.20178,-0.111422,-1.69898,1.37967,-1.59631,-9.57391,-2.27722,1.5603,-0.104037,0.204707,-1.34316,-2.29578,-0.616175,1.17403,0.909406,1.0684,-2.22504,0.11139,0.0961455,0.631556,2.94636,-1.77789,-0.616193,1.10606,1.83013,0.464752,1.94794,-1.06551,2.45123,1.56833,0.157196,-1.06476,-1.2517,-0.604179,2.93327,0.773697,3.78287,-0.0353657,-3.27579,-5.11631,-0.733337,-1.14053,0.388249,-0.405336,-1.52095,0.19606,-1.26044,-0.921638,-1.24297,-2.15877,-1.65678,-0.944182,-0.172557,-0.454164,-2.40513,1.1234,-1.68236,-0.464876,1.85151,-1.38084,-0.530511,-24.6405,-17.4645,-0.421708,-3.70143,-3.79662,0.0868362,-6.06552
-151.971,0.997869,0.0670558,6,63,0,178.89,-1.20385,0.955737,0.0866638,0.670773,-0.610698,-0.779405,0.142157,0.908243,0.349735,-0.752715,1.16994,-1.61379,0.401616,0.827778,0.403798,1.20997,2.32082,-0.792898,-0.62095,0.763949,1.6762,1.0938,0.18262,0.996169,-0.184863,1.16617,-1.18343,0.373832,-0.913982,1.32558,-0.254324,1.36093,-0.341129,-0.270695,-0.735565,0.264226,-1.17909,0.214624,-0.430631,0.946389,0.504842,1.22753,-1.7839,0.321038,-0.566374,0.27206,1.15396,-0.872616,-2.25702,-2.25967,0.32839,1.00467,-1.02946,0.949579,-1.01553,-0.345316,0.383765,-0.0514789,-0.472392,-1.33855,-1.75465,0.0643394,0.969,-1.31622,-2.05456,4.56999,0.844195,0.300995,-1.19567,-0.00449948,-1.99334,-0.149876,1.92561,0.197762,-1.595,0.946002,-1.13378,0.0399955,1.85342,-0.880683,-0.22322,1.41225,1.22535,0.39027,0.536056,-0.464394,1.45497,2.37624,-1.31179,-0.245138,-0.859938,0.151498,1.54159,1.55786,2.16193,0.370972,-0.271041,-0.477675,-1.60469,-0.388313,0.241189,-0.115689,0.361451,0.91243,-0.104213,0.543193,-0.899216,-1.39191,0.117846,-0.464339,0.326607,0.65283,-0.235966,0.57194,-0.138116,0.16555,1.19377,0.0760054,-0.448635,0.110735,-0.112522,-0.0825248,-0.4416,-0.208617,1.90755,-0.820402,-6.35677,0.226521,-2.99975,0.931587,0.080423,-0.709049,-0.897241,1.14725,1.79873,-0.575174,1.07934,-1.44188,0.299598,0.912677,0.823789,1.32159,0.941702,-0.0761174,-0.138485,0.842249,0.769281,1.38399,0.143089,0.462218,7.48811e-05,1.24691,-1.09029,0.375675,-0.749035,0.903575,-0.0144486,-0.168802,-0.325162,-1.28678,-1.5635,0.308424,-1.01294,0.297041,-0.415614,0.354997,0.205716,-0.587581,-1.7839,0.130774,-0.454395,-1.10854,0.655544,-0.191322,-3.42193,-2.07564,-0.013658,0.771203,-0.914101,1.13723,-1.29591,-0.345316,-9.90111,-7.09055,-0.472392,-11.5332,-0.286152,-3.51816,-12.5593
-155.164,0.977372,0.0670558,6,63,0,182.294,-1.6491,0.358492,0.140787,-0.218212,-0.923834,0.342842,-0.19574,-1.32727,-2.56141,-0.917232,-0.0718983,0.700197,0.0235852,-0.431602,-1.55096,-1.49852,0.341603,-0.683347,-0.557307,-0.367553,0.221268,-0.617077,-0.14024,0.612192,-0.0233026,-0.903783,0.196216,-1.11827,-0.173916,-0.345474,-0.433597,-0.22481,-0.268065,1.35962,0.805668,-0.659696,0.699719,-1.20481,-0.274119,0.509132,0.0209202,0.1341,1.42619,-1.03974,-1.79728,1.47363,-0.706647,-0.646376,0.912258,0.218761,0.0511627,0.0711095,0.61067,-1.43136,1.20636,0.524514,2.47465,0.880282,0.453,-0.0820707,-0.768482,-0.017165,-0.127165,1.50434,-3.17435,0.152271,-0.677161,-0.762512,-0.601113,2.17281,-0.490748,-0.352588,1.5183,0.709205,-1.11709,0.869094,-1.01541,1.04612,-0.455871,0.445098,0.756301,-0.547967,1.22716,-0.795844,-0.315585,0.269154,0.119349,-0.644843,-1.0205,0.928961,0.828513,1.13698,0.534334,-1.04135,-2.55456,0.587934,1.06598,-1.38119,0.153438,-0.475166,0.879884,0.647991,-0.315564,-0.876728,-0.81341,1.01575,0.658914,1.89042,-1.10306,0.141506,-0.348676,2.51541,1.83212,0.956526,-1.30804,0.176852,1.22204,0.758762,0.000358623,-0.0732319,0.54971,0.203759,0.754668,0.650767,0.451814,-3.07782,-6.09621,-5.34301,-1.64373,-1.01767,-0.402207,0.831894,-0.476593,-1.18298,-2.30533,-0.54603,-1.16636,1.64811,-0.456203,-0.37324,-1.45186,-1.45232,-1.38706,-0.335359,-0.124952,-0.782025,-1.67181,-1.18735,-0.436197,0.139561,0.182297,-0.856316,0.52131,-1.0436,0.00292832,-0.34001,-0.264837,-0.535312,-0.132664,1.34649,1.16675,-0.602666,1.05687,-1.05728,-0.139256,-0.434686,0.102968,-1.29321,1.42619,-1.40539,-1.90458,1.12254,-1.22978,-0.126317,0.950087,0.86773,-1.01957,-0.386086,0.98048,-2.23997,0.931825,0.524514,-0.594113,-1.09945,0.453,-2.63958,0.694141,-9.35387,-11.7269
-153.591,0.994735,0.0670558,6,63,0,195.299,-1.72978,1.08377,0.181791,0.437013,-0.336746,-0.444257,1.11751,0.9537,0.832699,0.151236,0.9686,-1.94119,1.08774,0.332515,0.957979,1.28165,1.95338,-0.17781,-0.463353,1.14126,1.28163,0.728259,0.410631,0.137585,-0.277298,0.615091,-0.762233,0.613385,-0.203158,0.540653,-0.234806,0.550787,0.346104,-0.0168602,-0.208647,0.807293,-1.26487,1.01953,-0.149109,1.1109,-0.0883969,1.91999,-1.3903,1.09165,0.730544,-0.991405,-0.254084,0.186459,0.565926,-0.237799,-0.70223,0.336039,-0.780373,1.7553,-1.64385,-0.000721492,0.725911,-0.402985,-0.679281,-0.613834,-3.49075,-0.603519,0.892932,-2.77532,-1.36704,3.07917,0.915645,-1.81781,1.07959,0.433715,0.932505,-0.336021,0.435197,-1.48421,0.57367,-1.03212,-0.00406647,-0.0480567,-0.489913,2.00867,0.439115,-0.497598,-1.84108,2.89856,-2.08512,-0.559888,1.33437,-0.632751,-0.640762,0.251174,0.991569,1.62676,0.175491,0.0130796,2.1046,0.715714,-3.0788,0.12307,0.763295,0.411803,1.27602,-0.623431,-0.303094,-1.92042,0.0286872,0.682779,-0.602522,-2.03383,1.11933,-2.15381,-0.572745,2.68158,0.798749,-1.83233,0.153961,0.192744,-0.102473,-0.998582,1.21639,2.56134,0.57538,-0.578413,-0.105651,-0.430313,-0.369025,-1.58137,-10.8245,0.483955,8.94099,0.33151,0.526645,-0.401619,0.0203855,1.30366,3.88967,0.567955,-0.141663,-1.82813,1.14032,0.364956,1.6843,1.38183,-0.88521,0.571113,0.350575,2.23365,-1.39118,0.337423,-0.310554,-4.36661,-0.888864,0.65978,-0.669126,1.91031,0.115783,0.651277,-0.228158,-0.984822,0.373495,-3.06905,-3.2106,0.86468,-1.216,1.31613,-0.134818,0.125946,-1.06015,0.850152,-1.3903,0.99729,0.745719,-1.06241,-0.52518,0.302497,0.515125,-0.148326,-0.992457,0.17235,-0.770767,1.6726,-1.6354,-0.000721492,-8.92535,-4.8397,-0.679281,-10.9564,-0.968313,-5.67115,-13.3445
-161.413,0.975451,0.0670558,6,63,0,191.601,2.25274,0.454689,-0.0531913,-0.365347,-0.497338,0.143696,-0.38395,-1.56529,-1.93692,-0.915802,-0.517868,0.902693,-0.333174,-0.437964,-1.20225,-1.43703,-0.259486,-0.763111,-0.620528,-1.11392,-0.265069,-0.541831,0.009007,0.112518,-0.0825365,-0.71709,0.252166,-1.06711,-0.407392,0.962883,-1.1531,0.122362,-0.484866,0.95134,0.557888,-0.983742,0.809185,-1.46572,0.00816739,-0.125467,0.146367,0.428939,1.37178,-1.30465,-0.619146,1.45527,-0.261496,-0.72442,-0.418886,0.00823506,0.850422,-0.545783,0.406739,-1.62677,1.5292,-0.187044,-1.27642,-2.02438,0.738163,0.984403,0.345182,0.737331,-0.842905,-0.843771,2.24036,-4.43381,-0.235628,-0.301864,-0.548191,0.443506,0.394574,-2.6031,-0.941543,1.00719,-1.56415,-1.31289,0.298624,-1.68442,-0.431389,1.66627,0.315986,1.47288,-0.343073,0.993605,-1.41889,-1.67134,1.71883,0.270964,0.794923,0.0997689,1.60845,1.89643,-1.40114,1.1773,0.685828,0.146824,1.60668,0.332503,-0.403728,-0.0572527,0.502784,0.0720293,-0.0300957,1.42243,-0.0613427,0.223074,-1.21274,1.29649,-0.0943872,-2.12473,0.327856,0.288042,1.41069,1.03005,-1.33636,-0.731419,-0.389643,-1.22693,-0.897854,-0.265438,-0.302139,0.869916,-0.274904,0.329883,0.905839,-0.194073,5.44334,0.54868,0.342797,-0.507036,-0.0381876,0.59274,0.0500109,-1.34548,-1.61084,-0.375739,-1.36015,1.84764,-0.6726,-0.300303,-0.859485,-1.34282,-1.15677,-0.372696,-0.252368,-1.22182,-0.71543,-0.844889,0.166292,0.254877,0.237169,-0.591577,0.699101,-1.0178,-0.0765814,1.2832,-1.02175,0.165312,-0.209049,1.57426,1.14144,-0.884802,1.28416,-1.32429,0.349655,-0.934825,0.464636,0.545614,1.37178,-1.55114,-0.288023,2.2251,-0.236492,-0.219772,-0.0429065,0.750034,0.984091,-0.514608,1.15574,-2.15853,1.73519,-0.187044,-0.796994,2.06983,0.738163,1.88572,2.70697,-7.80982,-8.7577
-163.565,0.985323,0.0670558,6,63,0,192.805,-0.0535166,0.455444,0.234292,0.436947,-0.407296,-1.00045,-0.650923,-0.228741,0.573923,-1.55839,1.51492,-0.408319,0.73694,-1.24988,1.31661,0.648492,0.0202898,-0.517512,0.905364,-0.528615,0.350488,-0.628651,0.839524,1.39569,-1.89976,-0.83838,0.65082,-0.296432,-0.716336,-0.470778,0.944216,-0.376407,-0.145797,0.44027,1.19075,-0.283406,-0.829918,2.07316,0.848172,-0.562206,2.06321,-0.648481,-0.682944,-1.49001,-0.377999,0.273595,0.936597,-0.684311,0.299704,-0.83728,0.732146,-1.06135,-0.791618,1.42049,-1.25581,0.876145,0.170148,-0.311693,0.63999,-3.57057,-1.26272,0.646894,-0.0314749,1.9282,-4.07439,-1.6491,-0.246046,-0.50774,-0.0755731,-0.589237,-1.6384,-1.66123,-1.31607,-0.457927,1.16312,-0.291187,-0.796804,-0.486231,-1.2477,-0.789102,-0.865459,-0.120186,-1.49104,-0.526458,-0.889994,0.296286,0.743993,-0.346429,-1.0326,0.709074,-1.20367,-0.579334,0.894118,-0.743023,-0.0323395,-0.506982,1.2229,0.938368,-1.1243,0.610121,-0.512811,0.295017,-0.775924,0.80536,-0.443854,1.0847,-2.09301,-0.424941,1.43094,-0.245186,-0.465884,-0.359418,0.197633,0.758413,-0.972873,0.478799,-1.42561,0.882823,0.053798,-3.41153,-0.43192,1.04068,1.69488,-0.636666,2.63699,-0.854855,-6.58416,-4.38703,6.17028,0.441885,-0.387391,-0.991228,-0.663457,-0.216887,0.605164,-1.53745,1.50098,-0.384648,0.702234,-1.2438,1.32858,0.652124,-0.0637631,-0.4998,0.924094,-0.536934,0.266955,-0.629778,0.830157,1.35929,-1.89343,-0.835216,0.660038,-0.286483,-0.702875,-0.470942,0.961617,-0.392797,-0.141998,0.432431,1.16971,-0.280199,-0.818327,2.08134,0.85206,-0.622167,2.06147,-0.706744,-0.682944,-1.98238,-0.047769,-0.145335,0.660684,-0.111955,0.316783,-0.411526,-0.215367,-1.79688,-0.583694,1.33016,-1.65107,0.876145,-11.5281,-0.78111,0.63999,-1.0689,-0.933971,-0.93453,-0.0865836
-161.152,0.977528,0.0670558,6,63,0,195.631,0.238351,0.834548,0.00554101,-0.441201,0.582266,0.623498,0.450184,-0.18484,-0.50315,0.92182,-0.940265,0.167636,-0.980667,1.28283,-1.29782,-0.701827,-0.024746,0.225421,-0.81755,1.4542,0.582911,-0.0490762,-1.27134,-1.10757,1.1229,1.22346,-0.73266,-0.601781,0.848248,0.357228,-0.621496,-1.14325,0.454896,-0.316208,-0.863335,0.49835,0.731065,-2.18079,-1.17643,0.680116,-1.5884,1.0781,0.735486,0.875398,-0.780127,-0.304921,-0.724509,0.289789,-0.635648,-0.23871,-0.422133,0.763724,0.116902,-1.45703,1.35934,-1.15377,0.695626,-2.03197,-0.843027,-0.017941,-1.21149,-0.0843687,-0.697833,-0.540778,4.0268,2.40484,-0.124961,-0.508506,1.15761,0.632518,1.51521,-0.499634,1.64178,-1.36823,0.450126,0.258265,0.209405,-0.367785,-0.00293835,0.398162,0.925394,-0.544178,-1.05807,-1.93371,1.63324,0.950744,-1.09491,1.77809,-0.849479,0.122502,1.54001,-0.244024,0.558673,-1.15113,3.17731,-0.786682,-0.271541,-0.972467,-0.496479,0.49873,0.0746205,0.280768,0.0505102,-1.47112,-1.1088,-0.936326,2.05993,1.2402,0.833948,-0.433001,-2.39671,0.411784,1.29445,0.113134,1.12959,0.824384,-0.312207,0.608518,0.3525,-0.34811,0.638749,0.479593,2.1195,0.0242479,1.0274,4.25931,-0.851562,2.8667,0.722211,-0.427808,0.80038,0.749996,0.302117,-0.038412,-0.145048,1.23197,-1.31242,0.54355,-1.12532,1.34749,-1.17849,-0.662866,-1.16655,0.4373,-0.616389,1.69314,0.228799,-0.0962108,-1.36654,-1.54299,1.46746,1.30421,-0.591826,-0.482401,1.02475,0.396887,-0.359598,-1.56785,0.51175,-0.659761,-0.850618,0.561232,0.906683,-2.12459,-1.14705,0.445999,-1.74552,0.560358,0.735486,0.903174,-0.665729,-0.402289,-1.01894,0.493311,-0.67425,-0.0322506,-0.5352,0.654451,0.194774,-1.56454,1.35772,-1.15377,0.107308,-1.8506,-0.843027,1.76343,-0.362121,-0.858699,-0.790698
-167.65,0.977846,0.0670558,6,63,0,193.235,1.27412,0.822642,-0.26054,-0.0127021,0.386776,1.21222,1.539,-1.16141,0.917458,-1.25762,0.127168,-0.649459,1.58296,-0.0461995,2.43384,-0.319767,2.23418,1.15808,1.77073,-0.280066,0.524297,0.114969,-0.319971,1.27127,0.0137267,-1.01516,-0.720647,0.481741,0.5005,-1.17336,-0.641409,1.44396,0.312635,1.30904,0.69035,0.532776,0.390695,0.964346,-1.89344,0.0656397,-0.170437,0.715307,1.63953,-0.293288,-0.786625,-0.524633,0.973932,-0.687563,-1.11305,1.16674,0.127259,-0.133671,1.03098,0.203065,0.0596233,1.05596,-0.962017,-1.28889,0.539493,-0.34066,-0.82534,1.25155,-0.790048,1.50617,-0.681698,1.02604,0.660257,-0.821804,-0.95593,-0.19225,0.329287,0.084823,-1.04925,1.25934,-0.412113,1.05319,-1.4235,0.474024,0.722177,0.568265,-0.637804,0.325639,-1.75049,-0.347193,0.0356286,1.42682,1.09762,-1.47075,-1.18171,0.758223,0.59151,-1.08388,0.160412,0.559448,1.53452,-0.582521,0.534489,1.01317,-0.655143,-0.992166,1.889,1.31342,-0.438551,1.89946,-0.63132,-1.24418,-0.877489,0.834749,0.422939,0.969942,-0.28448,0.792829,0.000289387,0.522959,-0.914178,-0.332314,1.50033,-1.4194,1.12887,1.46701,1.05357,0.765709,-0.288235,0.479085,-0.288276,3.08525,-6.47169,-2.2496,-9.74971,-0.294637,0.486582,1.27175,1.35705,-1.10254,1.11181,-1.13246,0.0532915,-0.427668,1.53827,-0.0112149,2.55738,-0.288748,1.76474,1.28646,1.88263,-0.509623,0.0419339,0.130529,-0.32485,1.12881,0.00493506,-0.989948,-0.618193,0.513358,0.581981,-1.54561,-0.548837,1.07842,0.355621,1.17738,0.677059,0.570164,0.498461,1.01995,-1.86865,-0.296398,-0.251235,-0.000833431,1.63953,-0.527489,-0.865287,-0.97963,0.718682,-0.463717,-1.49247,1.39065,-0.256694,-0.255207,1.1696,0.188695,0.0684445,1.05596,-11.5304,-1.3109,0.539493,-2.32083,0.196316,12.6911,6.89877
