# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1610726768
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_treatonly_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-161.111,0.99982,0.0554403,6,63,0,199.142,-0.384679,0.657147,1.19758,-1.15599,-1.39045,0.657791,-1.14576,0.736154,0.277789,-1.00905,0.471496,-0.00783141,-0.165453,0.230668,-0.505902,-0.278116,-0.779449,-1.38832,-1.30696,-0.355465,-1.11661,-1.16528,0.693877,-0.550855,0.938249,0.90215,-0.503091,-0.509069,-1.32196,-0.563394,0.50137,-1.89876,0.472342,-0.625525,-0.727999,-0.0898283,-0.146718,-0.527819,0.587625,-0.586826,-0.640037,-0.649636,1.12223,-0.414931,2.35249,0.734485,-1.20908,0.619194,-0.969184,0.934548,0.482318,-0.726766,0.112746,1.16093,1.87179,1.64062,-2.44461,1.50641,-2.29009,-0.200865,-1.63745,-0.229053,-0.65861,7.59281,1.33733,0.165018,-1.2449,0.146333,-1.23327,-1.35834,-0.289894,0.666946,0.598147,-0.279995,-0.599635,0.536933,1.39784,-0.605763,0.444564,-0.534347,1.93504,-2.13506,1.68946,0.508581,0.852345,-0.687207,-1.16675,0.535266,-1.61574,0.406857,0.0725188,0.386871,-0.721411,0.570121,-1.7479,0.0324307,0.215662,-1.14983,0.0994225,1.45065,-0.875531,-1.04254,0.595459,1.01768,1.26357,0.0161516,-0.191066,-0.840506,-1.26282,2.76614,1.91694,-1.17358,-2.20748,-2.02102,0.733274,-0.436909,0.661386,-0.685952,-2.10055,2.04285,-0.509099,0.403938,0.523086,4.98748,-1.47332,0.246918,1.15124,-1.09923,-1.35225,0.709764,-1.1207,0.803459,0.340033,-1.05893,0.526443,-0.053162,-0.154689,0.272165,-0.493094,-0.470759,-0.732249,-1.3608,-1.30429,-0.512192,-1.12605,-1.1662,0.638796,-0.513608,0.957375,0.927595,-0.513346,-0.482244,-1.34553,-0.552679,0.431492,-1.89284,0.435109,-0.655667,-0.710623,-0.0487098,-0.137834,-0.521284,0.525308,-0.570007,-0.678927,-0.649636,1.27576,-0.467844,3.22532,-0.255187,-0.723358,0.420394,-0.435477,-0.200071,-0.109633,-0.36376,-0.279523,1.19392,1.87179,0.905426,-1.92776,1.50641,-0.969231,-1.50456,-3.2752,-5.38481
-167.452,0.994554,0.0554403,6,63,0,191.348,-1.06224,0.956057,1.5595,-0.0396572,-0.760805,0.66717,-0.372801,0.137335,-0.416329,-1.01274,1.09326,0.244381,-0.0661019,-0.809512,0.92511,0.318139,-0.169719,-1.39087,-1.62671,-0.12685,-0.953662,-1.30431,1.02361,-0.9422,0.655591,0.496509,-1.19942,-0.815685,-1.0123,-0.720153,-0.00973239,-3.05233,1.03762,0.0933323,-0.821322,0.694816,-0.657334,0.128166,0.26401,-0.731489,0.0816983,-1.09083,0.8742,-0.187376,2.10267,1.18405,-0.779554,1.17278,-1.32952,0.79126,0.857386,-0.527824,0.184446,0.474562,1.37645,1.5097,-2.5882,2.03931,-2.57963,-0.233095,-2.04688,0.172559,0.0488328,7.86136,0.171126,1.83731,1.37212,-0.247049,1.40243,-1.12153,-1.20836,0.36805,0.577895,0.524063,0.165422,-1.61836,2.06391,0.894321,1.12984,0.470809,-0.121872,0.557165,0.62486,0.208577,0.32616,-0.388433,-0.696966,-0.878044,-1.09013,-0.190971,0.874199,-0.0796357,-0.933269,-0.60892,0.850737,1.42504,0.136207,1.20769,-0.672274,0.979536,-0.580534,-0.0442287,1.08569,-0.351256,-0.721418,0.886729,-2.27671,1.12284,0.955675,0.263301,-0.244358,0.576097,0.653051,0.37268,0.491697,-1.19293,-1.18846,-0.452036,0.374347,0.180531,-0.0722748,-1.07827,0.239469,2.20365,-9.98564,0.465922,1.46307,0.0511977,-0.725999,0.722044,-0.358803,0.223647,-0.339292,-1.10368,1.12677,0.183499,-0.0614964,-0.761528,0.934184,-0.0219422,-0.0947602,-1.36433,-1.69514,-0.438787,-0.982282,-1.30516,0.899182,-0.933917,0.664595,0.51887,-1.25666,-0.789537,-1.0253,-0.732787,-0.0938391,-3.05048,0.993318,0.0488927,-0.813357,0.746408,-0.653988,0.130613,0.130759,-0.737803,0.0278786,-1.09083,-0.257848,-1.17986,3.42675,-0.580269,-0.499431,1.34759,-1.46749,-3.24143,-0.321023,-0.22401,-1.01677,-0.408245,1.37645,-0.152564,-2.43224,2.03931,-1.09997,-5.14856,-3.78402,-6.10172
-158.306,0.999262,0.0554403,6,63,0,190.745,0.443623,0.28416,1.218,-0.215086,0.366864,-0.21878,-1.53988,-1.18788,-0.315056,-0.935007,-0.199971,-0.709653,-2.29739,-0.0865156,-0.273708,-0.921478,0.449425,-0.577364,-1.05039,0.946155,1.32692,-1.45171,1.08008,-0.49188,0.639429,-0.514872,-0.391441,0.74141,0.419022,-0.956705,0.375199,0.0181319,-0.313662,0.185839,-0.527759,-0.0233739,-0.678349,-1.64752,-0.242348,-2.16652,0.0988495,-0.969142,-0.0879431,0.735868,-0.493279,0.9296,0.550462,-0.214014,-0.00739902,1.40782,0.331733,-0.303415,0.486702,0.926014,0.69799,-0.141286,-1.51687,0.536226,-1.7246,-0.562892,-0.553909,-0.000996146,-1.96326,5.86546,1.44972,0.0629999,-0.858186,0.74095,-0.0894664,0.496518,-0.283304,-0.94215,1.17941,0.611788,0.049951,-0.797272,1.02027,0.195747,-0.203452,-1.23621,-1.58204,-0.57261,-1.29391,-1.10312,0.79093,-0.901984,0.597485,0.653279,-1.33383,-0.787651,-1.16305,-0.431736,-0.236415,-2.85601,1.38073,0.0447553,-0.736965,0.839227,-0.525787,0.303959,0.142809,-0.138558,-0.150623,-0.97142,0.116749,0.586104,2.14526,1.16227,0.535542,0.752364,-1.04719,-0.659266,0.563977,0.0107861,-0.287047,0.220408,1.26847,1.53509,-2.11271,2.00745,-1.51242,0.512747,-3.55897,0.578355,1.08025,-7.05635,1.30595,-0.114286,0.440893,-0.418285,-1.40209,-0.990024,-0.138496,-1.03643,-0.00905927,-0.837171,-2.25111,0.0276473,-0.217525,-1.20294,0.586014,-0.454718,-1.02508,0.752003,1.35425,-1.47589,1.0452,-0.446034,0.692726,-0.446323,-0.346834,0.845682,0.334727,-0.803592,0.139138,0.0631465,-0.344409,0.184791,-0.481886,0.0912481,-0.58633,-1.61173,-0.46701,-2.15648,-0.488933,-0.969142,-0.531972,1.88655,-2.45032,0.959859,2.00942,-0.970334,0.987849,1.44922,0.0255997,0.324587,0.39784,0.748111,0.69799,-0.339248,-0.739457,0.536226,-1.47714,1.96465,-1.57656,2.44913
-158.71,0.996193,0.0554403,6,63,0,181.792,0.654085,0.887222,0.357804,-1.07397,-0.460428,0.439277,1.59109,-1.08581,0.166296,0.512411,1.48212,0.59559,1.73296,0.16652,-0.337168,0.955994,2.04814,0.337214,1.73521,-0.0993243,0.505772,0.355116,-1.28796,-0.525814,-0.672691,-0.0474808,0.515167,-1.43462,0.133358,0.571284,-0.586365,0.114135,0.146446,-1.2765,-1.62735,-0.65528,0.856262,0.540754,-0.165186,-0.380489,0.467481,0.992675,-0.317183,-0.0621165,1.60198,1.13708,-2.87781,1.05151,-0.590402,0.0915127,1.02187,-0.452664,0.449215,-0.650315,-0.351443,-0.156674,-1.02079,-0.553943,-3.03924,-0.166461,0.681046,-0.0946927,0.362225,6.57507,-1.46309,0.573063,-0.296021,0.162786,1.02736,1.56201,0.250193,0.975925,-0.50077,0.853161,1.57106,0.0146243,0.399005,0.724634,-1.13103,0.421272,1.04091,-0.906074,-1.60151,1.45482,-0.908039,0.66723,-0.448846,0.547728,0.389441,-0.177438,-0.497715,1.00825,-0.230608,-0.0888898,0.36403,0.00790067,1.26819,0.156969,0.457934,1.52014,0.417244,2.52707,-0.119251,0.675403,0.67628,-1.59513,0.999566,-0.861971,-0.202205,-0.420831,-0.801676,-0.666072,-1.04613,0.0733733,-0.498064,-0.245086,-0.564533,1.7872,1.1485,-0.375749,0.359088,1.42473,0.915965,0.810957,0.724908,2.74839,0.370031,-1.0378,-0.43903,0.450234,1.60737,-1.04872,0.20842,0.488055,1.52171,0.609227,1.73697,0.183281,-0.331709,0.832418,2.08355,0.347587,1.72069,-0.17687,0.503394,0.361649,-1.31908,-0.511137,-0.670585,-0.0346723,0.527794,-1.41964,0.152335,0.565474,-0.582323,0.116106,0.131493,-1.26219,-1.62533,-0.638865,0.857767,0.542761,-0.218771,-0.382645,0.41803,0.992675,-1.03212,0.621526,1.93934,0.762704,-2.95786,2.26947,0.540639,-1.18211,1.82991,-0.121919,0.0472765,-1.83648,-0.351443,0.977921,-1.04052,-0.553943,-1.02844,2.13927,0.818327,2.1854
-157.757,0.973077,0.0554403,6,63,0,191.105,-0.375485,0.746101,-0.335147,0.868546,0.591267,0.359077,-1.57345,0.678289,0.60471,-0.295298,-1.48925,0.0586057,-1.7573,0.21577,0.667927,-0.365063,-1.77993,-0.531121,-0.744693,-0.168923,-0.747244,-0.136834,1.04256,0.306819,0.739083,-0.111134,0.116105,1.36623,-0.428582,-1.41587,1.08026,-0.129769,-0.65706,0.66001,1.80664,0.35112,-0.624985,-0.385806,0.343888,-0.197269,-0.234779,-1.33263,0.944372,-0.171332,-0.867612,0.476729,1.63697,-0.984692,-1.46643,0.090012,-0.172949,-0.0663436,-0.177933,1.34091,0.351934,1.88306,0.0378189,0.553979,-0.310456,-0.751472,-0.272161,-0.619191,-1.13715,-8.76038,-0.0997748,0.379363,-0.448176,-2.05545,-0.447196,0.675534,-2.20114,-0.4576,-1.21588,-1.07498,0.291532,-1.42498,-1.36004,0.369981,-1.57427,0.706431,-2.42494,1.29379,0.589678,-0.742537,0.940879,0.219526,-0.348942,0.237635,-1.29355,-0.0173962,1.31123,0.88353,-0.703586,0.199325,1.04518,1.50528,-1.64517,0.578979,-1.02951,-1.18098,-0.139309,1.2544,1.54021,1.33511,-1.94963,1.54219,-0.670024,-0.937703,-0.856385,0.974687,2.25077,-1.60599,0.92553,0.897586,-0.826034,-0.00966549,-0.196923,0.516813,0.0448546,0.067899,1.20325,0.363817,-0.827893,-1.25563,0.220379,1.6967,-0.321072,1.04892,0.684352,0.217252,-1.47991,1.036,0.864339,-0.418649,-1.24976,-0.0342382,-1.72604,0.369193,0.733846,-1.22362,-1.62369,-0.348531,-0.787708,-0.747664,-0.763088,-0.119337,0.957452,0.533018,0.819943,0.0348312,0.196155,1.53471,-0.543364,-1.19866,0.995033,-0.0761774,-0.828437,0.797128,1.90939,0.506794,-0.523679,-0.336162,0.116284,-0.170365,-0.976391,-1.33263,1.04827,0.0157441,-1.26006,0.0633791,2.10732,-0.980484,-1.17273,-0.189139,-0.207028,0.142142,-0.247379,1.33287,0.351934,1.29793,0.737962,0.553979,0.273515,-0.0151861,-1.31362,-1.72288
-160.249,0.996701,0.0554403,6,63,0,183.692,-0.297188,0.588706,0.447143,0.538463,0.614032,1.2288,0.467025,-0.933272,0.776261,-0.108146,-0.363886,-0.384836,0.207242,-0.139761,0.378627,1.11512,-1.06533,-0.0625267,0.188969,0.994457,0.408928,0.554231,0.846737,-0.568945,0.280595,-0.310692,0.646244,-0.62091,-0.151596,0.021643,0.456101,1.34412,-0.824256,1.0185,-1.80295,-0.408005,-0.629455,-1.29299,-0.495549,-0.223095,-0.804137,0.0744106,0.719529,-0.105717,0.534918,1.87223,2.11693,-2.20876,-1.89346,0.789946,0.688809,-0.108567,-0.243605,-0.490744,-0.63748,0.366397,0.876574,-0.117934,-0.588311,-2.19773,-1.13172,-0.118448,0.916628,-1.2937,0.625682,-0.966284,-0.527787,0.00529761,1.66495,-1.48742,-0.681571,0.378807,1.11048,-0.0425201,1.67166,-0.500047,-0.694615,1.41067,1.42754,0.30151,1.18236,1.4561,0.923291,0.243898,-0.595637,-0.691465,-0.802328,-0.176552,0.170366,-1.71404,0.716356,1.59293,-0.685261,0.279694,0.547564,-0.428753,-2.36016,-0.781315,0.372199,-0.01461,-0.00826732,0.12902,0.82193,1.43598,-0.724173,0.0744694,1.32663,0.676969,-1.26929,0.4836,0.655535,0.503759,0.403759,-0.0899693,0.0927201,-1.6375,-0.46279,-1.06717,-0.642477,-0.628182,0.021909,-0.465714,-0.796111,0.370752,-3.35864,-3.70758,0.345899,0.831993,0.756843,1.39452,0.748582,-0.464515,1.233,-0.221879,0.0953223,-0.991847,0.337713,0.137542,0.525824,0.205687,-0.840919,0.217096,0.0341286,-0.19332,0.540781,0.718738,0.292388,-0.552662,0.423396,-0.0513631,0.73745,-0.377944,-0.625969,0.408097,-0.328734,1.53231,-1.11581,1.12934,-1.73832,-0.144392,-0.526771,-1.21844,-1.39602,-0.245676,-1.90234,0.0744106,0.538562,-0.0431097,0.435689,1.74366,2.33346,-2.38235,-1.73806,0.497941,0.605333,0.0245042,-0.213886,-0.456882,-0.63748,-2.25361,2.5481,-0.117934,-1.5386,-1.09847,-0.17227,1.9918
-159.263,0.986143,0.0554403,6,63,0,193.324,0.221218,0.598927,0.418392,0.00634144,-0.0505531,0.326807,1.36919,-1.1671,-0.417939,0.409949,-0.215494,-0.441438,0.981235,-0.412793,-0.135586,0.940739,-1.14156,-0.221792,0.645942,1.68204,0.304098,1.58374,1.14999,-0.38246,-0.985082,-0.905779,0.68174,-0.714475,-0.20735,-0.517715,-0.126201,0.349027,-0.910483,1.06109,-1.54439,-0.504107,-0.741932,-2.62009,-0.293384,-0.223565,-0.708766,-0.486004,0.333588,0.0268825,0.139386,1.37516,1.68376,-1.58486,-1.11195,-0.0831459,0.828257,-0.165742,-0.499982,-0.423833,-1.46848,0.145363,0.325971,-0.2656,0.0304836,-1.82722,-0.408926,-0.397496,-0.427314,0.207512,-0.238436,-1.13895,-1.43974,-2.10469,1.20908,-0.315349,-2.71283,1.04608,0.150275,0.095678,0.966912,-0.558936,-1.02612,-0.411715,0.0820592,-0.317844,0.912753,1.17777,-0.370896,1.54043,0.4299,0.436256,-2.21028,-1.03676,-0.165733,-0.0517114,0.0405025,-1.34726,-1.07039,-1.85016,0.0916926,-0.323405,0.878187,-0.161229,-0.0642597,-1.70201,0.654435,0.0372253,0.648309,-0.946229,-1.00799,0.218331,-0.890146,-1.6747,-1.39545,1.63378,2.19884,-2.02467,0.00451353,-0.0964098,-0.393029,0.231349,-0.97354,-0.538923,-2.64948,-0.211965,1.16821,0.77156,1.82076,-3.36194,6.98107,0.93658,0.659908,0.362007,0.140517,0.540587,1.98962,-0.582805,0.0783683,0.528206,0.451334,-0.885938,1.25593,-0.0779455,0.0664061,0.364433,-0.850374,0.134619,0.958798,1.41829,0.539091,1.95492,1.03613,-0.115909,-0.851285,-0.606233,0.937211,-0.398931,-0.508872,-0.039589,-0.80978,0.577408,-1.13119,1.55096,-1.44434,-0.175289,-0.584791,-2.56906,-0.92719,-0.136522,-1.71645,-0.486004,0.258167,0.170988,0.100821,1.33205,1.89929,-1.66679,-0.917149,-0.0329078,0.919059,-0.0456791,-0.402004,-0.347512,-1.46848,-0.0794144,3.65166,-0.2656,0.148254,-0.679179,0.715769,1.77007
-159.008,0.988897,0.0554403,6,63,0,184.807,-0.205866,0.476768,0.0590261,-0.228922,-0.876854,-0.126443,-0.742572,-1.77263,-0.13278,0.63323,-0.615716,0.0361255,2.30324,-1.11095,-1.63267,1.15901,-0.140592,-1.74663,1.16647,1.8947,1.48569,0.00919724,0.578195,0.535237,-1.68672,0.0811815,0.731618,-0.549066,-0.474631,0.190062,-0.33957,-0.848062,-0.249489,1.31536,-0.299388,-0.732139,0.129851,-1.74268,1.08012,-0.530623,0.2592,0.114221,-0.353567,-0.255266,0.885006,0.864283,0.964918,0.393092,-1.14544,0.481862,0.284556,-1.91074,1.08659,0.676754,-0.992485,-0.259478,-0.901914,0.0469433,-0.175388,-2.67075,-1.37778,-0.0523144,2.18751,0.774809,-0.24646,-0.321604,-0.437959,-0.251028,-2.02011,0.273058,0.119583,-0.13661,-0.368921,1.21623,-0.598832,-0.218991,-0.56549,0.107116,1.05103,-0.462241,-0.200025,-0.540312,0.132502,-1.88492,-0.575012,0.552576,0.366183,0.846394,-0.542246,0.364853,0.521272,0.536257,1.01374,-0.657156,1.4035,-0.778313,1.40869,0.0444332,0.789391,2.10352,1.15713,0.0260674,1.82465,0.568748,-0.594896,-0.155899,0.363336,-1.21673,-1.54135,1.92417,0.648648,0.457625,-0.740388,-0.511443,0.945725,0.714744,1.17011,1.11761,-2.24487,0.306485,1.35698,0.103948,-1.45435,1.32871,-5.15194,-4.33559,-0.570747,0.155653,-0.757373,-0.779632,-0.508771,-1.4456,0.422525,0.546864,-0.038686,-0.97543,2.81149,-0.8842,-1.5736,0.00414249,0.256999,-1.56734,1.48064,1.18076,1.89858,0.00127081,-0.56201,0.883249,-1.63211,0.448684,0.960953,-0.254467,-1.44222,0.717723,-2.33944,-0.756928,-1.00435,1.74617,-0.155523,-0.454846,0.353697,-1.69506,0.634688,-0.733778,-1.38016,0.114221,-0.412374,-0.258402,0.737514,0.765116,1.06819,0.192905,-1.04228,0.369054,0.205718,-1.85836,1.15543,0.713347,-0.992485,-2.21852,-0.167788,0.0469433,-2.55113,-1.29996,-0.901654,-2.7031
-161.541,0.998347,0.0554403,6,63,0,185.575,-0.338628,0.898683,0.378709,0.988586,-0.493968,0.389521,-0.813469,-0.289482,-1.06476,-0.586337,-1.35231,1.05421,-2.48165,-0.133642,0.0504888,0.394045,-1.54473,0.403503,0.157656,0.520336,-1.2928,-0.886876,0.996382,-0.468752,0.503242,-2.29721,-0.696497,0.374736,1.80853,-1.13296,2.2403,-0.164045,0.163811,-1.79462,0.647666,-1.00389,-0.480447,2.6567,0.0552857,0.213221,1.45153,0.437743,0.728217,0.108016,-0.0982885,0.271651,-1.50666,-0.418095,-0.274211,1.01934,0.326253,-0.166895,-0.554117,-1.01909,0.230369,2.00056,-0.0623286,0.602458,-0.401894,-0.292115,-1.29893,0.114909,0.725999,-3.50445,-0.56587,1.61881,-0.987289,-0.850577,-0.885912,-0.977732,0.40941,-0.287008,-0.794479,0.655847,1.56637,-0.62394,-1.57925,0.0276003,0.230877,-1.17448,2.71411,-0.959312,1.34947,-0.172438,0.601244,1.38497,-1.46664,-0.668204,0.70689,0.493648,0.380825,0.165365,-0.748321,-0.969131,-0.0794845,0.446527,0.415776,-0.635134,0.191911,-0.303309,-0.00250591,-0.760913,-0.425939,0.315204,-1.10049,-0.53123,0.47744,2.15756,1.27699,0.341436,-0.496692,-0.962791,0.964965,-1.421,-0.180541,0.2586,-0.961565,-1.13617,-0.0241043,0.309,0.55226,0.711638,-1.49416,2.97165,5.47789,6.30158,0.929537,1.68011,-0.377958,0.222366,-0.630648,0.501158,-0.719277,-1.29404,-0.785312,1.40911,-2.4708,0.479888,0.180441,-1.98022,-1.13762,0.804873,0.425399,0.378845,-1.67464,-0.903818,1.42054,0.147266,0.725657,-2.15919,-0.605622,0.919556,2.23846,-1.21492,2.87144,-0.0855612,0.0988765,-3.00181,0.888267,-0.513068,-0.440642,3.04449,-0.298056,0.453402,1.09546,0.437743,1.49921,1.38775,0.219011,-0.88776,-1.16482,1.15384,0.849136,3.03299,-0.387169,0.868813,-1.75797,-1.76321,0.230369,2.72372,0.907581,0.602458,3.3741,1.69233,0.659091,7.09714
-162.294,0.986002,0.0554403,6,63,0,192.425,0.486584,0.510466,-0.513491,-1.03779,0.527641,0.0842721,0.815443,0.0772786,0.259352,-0.0240414,0.896149,0.213386,2.38496,0.0015933,-0.0617533,0.426041,1.19338,-0.47924,-1.15611,-0.0207815,1.552,0.460516,-0.352103,0.297179,-1.05659,2.18535,0.191029,-0.516926,-1.74247,1.02851,-2.02922,0.111848,-0.274409,1.45146,-0.836413,0.650242,0.430836,-3.01164,0.343101,-0.965403,-0.620382,-0.275146,-0.288325,-0.70403,1.89647,0.454296,-0.0642845,-0.0824581,-1.4175,0.558904,-0.23648,-1.00295,0.192654,1.35742,-0.233837,0.343229,-0.925563,-0.863259,-1.61518,0.170851,0.267607,-0.434943,1.37813,2.41072,0.517135,-1.16416,-0.448921,-0.949676,-0.643187,-0.413413,1.39008,1.70527,1.40464,-2.30783,-0.550915,-0.170126,-0.253032,0.185182,0.5087,-1.15166,1.64238,0.121596,-0.838719,1.82043,-1.39001,0.140087,2.12928,0.277853,1.07236,-0.290273,-0.728066,0.526248,-0.806996,-0.284376,0.479542,1.58326,1.02561,0.640723,0.0509547,1.71143,0.282602,1.43247,0.00844559,-0.745986,1.04176,0.89774,0.789403,-0.677709,0.873849,0.432315,0.380506,1.97059,0.127988,-0.220453,-1.85785,-0.95245,1.39283,-2.4666,1.51728,0.999034,-0.0962286,-0.27426,1.50251,-0.334876,7.35513,0.578764,-0.532342,-0.958671,0.599754,0.183544,0.880669,0.196545,0.367454,-0.0549114,0.983494,0.18392,2.42081,0.0620055,-0.0381018,0.344137,1.26774,-0.411088,-1.09169,-0.109952,1.57351,0.459658,-0.371003,0.345986,-1.03567,2.22808,0.196757,-0.476657,-1.75766,1.12339,-2.11856,0.127152,-0.294569,1.49113,-0.815052,0.712015,0.479582,-3.00074,0.245247,-0.939605,-0.646772,-0.275146,-0.257968,-0.201366,3.23349,0.583567,1.57341,-0.176039,-0.675739,0.773859,-0.209829,-0.519172,0.350655,1.7771,-0.233837,2.00571,3.56792,-0.863259,-0.187071,1.49777,-3.28156,-2.88285
